gene index	a_n	m	resub	bresub
[200]	[0.0375]	-0.2109	0.4286	0.3687
[201]	[0.0107]	-2.5846	0.2143	0.2739
[202]	[0.0046]	-0.3226	0.4286	0.3926
[203]	[0.0049]	-0.2611	0.4286	0.4832
[204]	[0.0128]	-1.6145	0.1429	0.2317
[205]	[0.1315]	-0.3206	0.3571	0.2770
[206]	[-0.0037]	0.3589	0.3571	0.2476
[207]	[0.0193]	-0.9789	0.4286	0.3443
[208]	[0.0059]	-0.1318	0.4286	0.4551
[209]	[0.0066]	-1.9816	0.2857	0.3165
[210]	[0.0543]	-3.4379	0.2857	0.2660
[211]	[-0.0015]	0.0464	0.4286	0.4868
[212]	[-0.0003]	0.0938	0.3571	0.4809
[213]	[0.0079]	-1.2204	0.2143	0.1864
[214]	[0.0943]	-1.1108	0.2143	0.2613
[215]	[-0.0238]	1.0160	0.2857	0.3306
[216]	[-0.0022]	0.1411	0.6429	0.5445
[217]	[0.0505]	-1.6427	0.2143	0.2675
[218]	[-0.0041]	0.3521	0.4286	0.4343
[219]	[0.0249]	-1.7033	0.3571	0.3599
[220]	[0.0164]	-0.9615	0.4286	0.4131
[221]	[-0.0236]	1.3153	0.3571	0.3622
[222]	[0.0005]	-0.0950	0.6429	0.5087
[223]	[0.0207]	-1.1770	0.2857	0.2575
[224]	[-0.0039]	0.2021	0.5714	0.4946
[225]	[-0.0319]	0.3920	0.2857	0.3484
[226]	[0.0923]	-2.0954	0.1429	0.1369
[227]	[0.0339]	-1.3556	0.2857	0.3163
[228]	[0.0141]	-0.8577	0.2143	0.3423
[229]	[-0.0038]	0.3119	0.5000	0.4480
[230]	[-0.0488]	1.6517	0.2143	0.2630
[231]	[-0.0049]	0.1822	0.5714	0.5342
[232]	[0.0176]	-0.5004	0.2143	0.2835
[233]	[-0.0017]	0.3605	0.5000	0.4715
[234]	[-0.0226]	1.2393	0.3571	0.3993
[235]	[0.0083]	-0.6582	0.3571	0.3995
[236]	[-0.0069]	0.4610	0.5000	0.5066
[237]	[0.0012]	-0.0673	0.4286	0.4793
[238]	[0.0114]	-0.7131	0.4286	0.3981
[239]	[0.0516]	-1.3830	0.2143	0.2467
[240]	[-0.0293]	1.7348	0.1429	0.2843
[241]	[0.0553]	-4.0072	0.0714	0.1139
[242]	[0.0038]	-0.1733	0.4286	0.4736
[243]	[-0.0241]	0.7663	0.3571	0.3857
[244]	[-0.0037]	0.1045	0.5714	0.6152
[245]	[0.0198]	-0.8068	0.2143	0.2386
[246]	[0.0156]	-0.3927	0.5000	0.4159
[247]	[0.0034]	-0.1205	0.3571	0.4274
[248]	[-0.0151]	0.5031	0.3571	0.3231
[249]	[-0.0001]	0.4596	0.5000	0.3891
[250]	[0.0132]	-0.7367	0.4286	0.4277
[251]	[-0.0079]	1.2693	0.2857	0.3084
[252]	[-0.0103]	0.3511	0.4286	0.4369
[253]	[0.0262]	-0.8634	0.4286	0.4109
[254]	[0.0017]	-0.0870	0.6429	0.5213
[255]	[0.0676]	-0.6559	0.2857	0.3117
[256]	[0.0152]	-0.5208	0.5000	0.4336
[257]	[0.0091]	-0.3041	0.4286	0.4299
[258]	[0.0045]	-0.1197	0.5000	0.4506
[259]	[-0.0103]	0.4048	0.4286	0.4198
[260]	[0.0005]	-2.8987	0.0714	0.1913
[261]	[-0.0008]	0.0750	0.2857	0.4553
[262]	[-0.0099]	0.5742	0.4286	0.4352
[263]	[-0.0229]	0.6226	0.2857	0.3186
[264]	[-0.0062]	2.2973	0.2143	0.3393
[265]	[0.0081]	-0.7040	0.4286	0.4277
[266]	[0.1249]	-1.1530	0.1429	0.1829
[267]	[-0.0044]	0.5209	0.3571	0.4393
[268]	[0.0036]	-0.6356	0.4286	0.4463
[269]	[0.0916]	-1.0336	0.2857	0.3111
[270]	[0.0083]	-0.4335	0.4286	0.4441
[271]	[0.0013]	-0.1073	0.5000	0.4779
[272]	[0.0136]	-1.3212	0.3571	0.3086
[273]	[0.0021]	-0.0402	0.5714	0.5721
[274]	[0.0028]	-0.1373	0.4286	0.4285
[275]	[-0.0048]	0.3212	0.5000	0.4703
[276]	[0.0584]	-0.5682	0.2143	0.2082
[277]	[0.0025]	-0.4664	0.3571	0.3255
[278]	[-0.0094]	0.4828	0.4286	0.4332
[279]	[0.0372]	-1.3364	0.4286	0.4033
[280]	[-0.0164]	0.4114	0.4286	0.4297
[281]	[0.0056]	-0.2947	0.6429	0.5622
[282]	[0.0004]	-0.0970	0.3571	0.4654
[283]	[0.0222]	-0.5085	0.2143	0.2222
[284]	[-0.0023]	0.0894	0.3571	0.4427
[285]	[-0.0073]	0.1859	0.4286	0.4800
[286]	[-0.0845]	2.1333	0.0714	0.1714
[287]	[0.0084]	-0.5173	0.3571	0.3892
[288]	[0.0272]	-0.5909	0.2143	0.2093
[289]	[0.0384]	-1.1751	0.4286	0.3681
[290]	[-0.0419]	0.7843	0.3571	0.3492
[291]	[0.0083]	-0.2050	0.2857	0.3520
[292]	[-0.0200]	0.6556	0.4286	0.3961
[293]	[0.0310]	-0.4466	0.3571	0.3733
[294]	[-0.0088]	0.1781	0.5714	0.4907
[295]	[-0.0042]	0.0802	0.5714	0.5187
[296]	[0.0133]	-2.3613	0.1429	0.1497
[297]	[-0.0028]	0.5213	0.3571	0.3109
[298]	[-0.0089]	0.2198	0.3571	0.4357
[299]	[0.0357]	-1.6739	0.2143	0.2575
[300]	[-0.0069]	0.3343	0.5000	0.3381
[301]	[-0.0063]	0.3267	0.4286	0.4553
[302]	[-0.0002]	0.0088	0.5714	0.5155
[303]	[-0.0472]	1.4892	0.2857	0.2713
[304]	[0.0157]	-0.4226	0.2857	0.3093
[305]	[0.0054]	-0.3382	0.3571	0.3932
[306]	[0.0255]	-1.7812	0.2143	0.2948
[307]	[0.0180]	-3.4690	0.0714	0.1043
[308]	[0.0600]	-0.5222	0.3571	0.3819
[309]	[0.0019]	-1.3521	0.2857	0.3136
[310]	[0.0224]	-1.4882	0.4286	0.4009
[311]	[0.0199]	-0.7260	0.5000	0.4558
[312]	[-0.0040]	0.1243	0.5000	0.5173
[313]	[0.0021]	-0.2018	0.5000	0.4799
[314]	[0.0205]	-0.4756	0.3571	0.4174
[315]	[0.0024]	-0.1132	0.4286	0.4993
[316]	[-0.0511]	1.0535	0.3571	0.3376
[317]	[0.0032]	-0.6460	0.3571	0.3944
[318]	[0.0015]	-0.4737	0.4286	0.4699
[319]	[0.0019]	-0.0254	0.3571	0.4205
[320]	[0.0013]	-1.2143	0.3571	0.3069
[321]	[-0.0084]	3.9290	0.2857	0.2581
[322]	[-0.0054]	0.4210	0.4286	0.4325
[323]	[-0.0017]	0.0500	0.5000	0.4919
[324]	[0.0158]	-1.1800	0.2857	0.2847
[325]	[-0.0035]	0.0766	0.5714	0.5510
[326]	[-0.0088]	0.3474	0.5000	0.4349
[327]	[-0.0269]	2.0556	0.2143	0.3635
[328]	[0.0051]	-1.3607	0.2143	0.2945
[329]	[0.0167]	-1.0028	0.2143	0.1836
[330]	[-0.0055]	0.3135	0.4286	0.4365
[331]	[0.0186]	-0.2906	0.5000	0.4730
[332]	[0.0149]	-1.6495	0.3571	0.3060
[333]	[0.0024]	-0.2147	0.5714	0.5256
[334]	[-0.0065]	0.1387	0.5000	0.4836
[335]	[-0.0020]	0.2282	0.4286	0.2629
[336]	[0.0061]	-0.2256	0.5000	0.4834
[337]	[-0.0027]	0.6667	0.3571	0.4000
[338]	[0.0045]	-0.2483	0.5000	0.4559
[339]	[-0.0217]	0.3772	0.4286	0.3724
[340]	[0.0013]	-0.1044	0.5000	0.5092
[341]	[-0.0553]	2.2756	0.2143	0.2036
[342]	[-0.0214]	0.7139	0.3571	0.3964
[343]	[0.0363]	-0.9742	0.2857	0.3250
[344]	[-0.0303]	0.6086	0.4286	0.3979
[345]	[0.0114]	-0.4053	0.5000	0.4280
[346]	[-0.0610]	0.6264	0.2857	0.3123
[347]	[-0.0038]	0.4375	0.4286	0.4001
[348]	[-0.0157]	0.5383	0.5000	0.4388
[349]	[0.0240]	-1.8695	0.2857	0.2919
[350]	[0.0101]	-0.4274	0.5000	0.4189
[351]	[-0.0037]	0.1415	0.5000	0.4918
[352]	[-0.0079]	0.4369	0.4286	0.3319
[353]	[0.0561]	-0.8680	0.2143	0.2842
[354]	[0.0511]	-1.1388	0.2143	0.1934
[355]	[-0.0413]	1.1285	0.2143	0.1967
[356]	[-0.0022]	0.5110	0.4286	0.4641
[357]	[-0.0121]	0.3549	0.5000	0.4389
[358]	[0.0210]	-1.4499	0.2857	0.3200
[359]	[-0.0049]	0.0837	0.5000	0.4805
[360]	[-0.0027]	0.1838	0.3571	0.3971
[361]	[0.0060]	-0.0668	0.4286	0.4271
[362]	[0.0012]	-0.1153	0.5000	0.4116
[363]	[-0.0035]	0.1283	0.5714	0.5326
[364]	[-0.0043]	0.3734	0.3571	0.4574
[365]	[-0.0256]	0.7737	0.2143	0.3057
[366]	[0.0108]	-1.4245	0.2857	0.2498
[367]	[0.0125]	-1.7232	0.1429	0.2547
[368]	[-0.0067]	0.2093	0.3571	0.4386
[369]	[0.0010]	-1.6861	0.1429	0.1530
[370]	[0.0020]	-0.0356	0.5714	0.5465
[371]	[0.0276]	-0.8441	0.2857	0.2162
[372]	[0.0033]	-4.3700	0.1429	0.1293
[373]	[-0.0004]	0.0524	0.3571	0.4320
[374]	[0.0221]	-0.8942	0.2857	0.2686
[375]	[0.0036]	-0.2113	0.6429	0.5595
[376]	[0.0013]	-1.0632	0.3571	0.3516
[377]	[0.0383]	-1.1431	0.2143	0.2093
[378]	[0.0420]	-0.3364	0.3571	0.3303
[379]	[0.0011]	-0.5942	0.4286	0.4271
[380]	[-0.0004]	0.0421	0.4286	0.4142
[381]	[-0.0014]	0.1963	0.5000	0.4705
[382]	[0.0073]	-0.6946	0.4286	0.4444
[383]	[0.0031]	-0.0957	0.4286	0.4025
[384]	[0.0676]	-1.3507	0.2857	0.2712
[385]	[0.0315]	-2.6256	0.2857	0.2445
[386]	[0.0007]	-0.0665	0.5000	0.4707
