gene index	a_n	m	resub	bresub
[163]	[0.0061]	-0.2975	0.5000	0.4598
[164]	[-0.0136]	1.2970	0.3125	0.3564
[165]	[-0.0030]	2.5311	0.4375	0.3679
[166]	[-0.0151]	1.1559	0.2500	0.3645
[167]	[0.0101]	-1.4558	0.3750	0.3613
[168]	[0.0085]	-0.2556	0.4375	0.4275
[169]	[0.0902]	-1.5750	0.3125	0.2869
[170]	[-0.0003]	0.1966	0.4375	0.3497
[171]	[-0.0027]	0.8078	0.5000	0.4814
[172]	[0.0030]	-0.4204	0.5000	0.4628
[173]	[0.0199]	-0.8463	0.3750	0.3644
[174]	[0.0044]	-0.5115	0.4375	0.4555
[175]	[0.0049]	-0.1146	0.5000	0.4691
[176]	[0.0050]	-0.4469	0.3750	0.2841
[177]	[-0.0317]	1.7600	0.3125	0.2965
[178]	[-0.0085]	0.7100	0.4375	0.4241
[179]	[-0.0082]	0.6327	0.3750	0.3651
[180]	[0.0131]	-0.4612	0.3125	0.3785
[181]	[-0.0229]	0.8092	0.3125	0.3484
[182]	[0.0076]	-3.9324	0.3125	0.3234
[183]	[0.0166]	-2.3959	0.3125	0.3386
[184]	[0.0242]	-0.8889	0.5000	0.4626
[185]	[-0.0455]	1.1741	0.3125	0.3524
[186]	[-0.0104]	0.9657	0.3750	0.4167
[187]	[-0.0001]	0.1938	0.5625	0.4137
[188]	[-0.0002]	0.0043	0.5000	0.5443
[189]	[0.0186]	-1.1918	0.5000	0.4200
[190]	[0.0063]	-0.5406	0.3750	0.3646
[191]	[0.0082]	-0.5143	0.3750	0.4175
[192]	[0.0138]	-0.5774	0.3125	0.3078
[193]	[0.0137]	-0.4258	0.5000	0.5027
[194]	[-0.0491]	1.4957	0.3125	0.2826
[195]	[-0.0489]	2.0879	0.3750	0.3334
[196]	[0.0037]	-0.0779	0.3750	0.3784
[197]	[0.0081]	-0.3509	0.4375	0.4370
[198]	[0.0013]	-0.1687	0.5625	0.5273
[199]	[0.0062]	-0.2997	0.5000	0.4434
[200]	[0.0187]	-0.4114	0.3750	0.3635
[201]	[0.0013]	-0.4019	0.5000	0.4980
[202]	[0.0026]	-0.3980	0.4375	0.3922
[203]	[0.0040]	-0.2634	0.5625	0.4872
[204]	[0.0038]	-1.0091	0.4375	0.3828
[205]	[0.0084]	-0.3431	0.3750	0.2360
[206]	[0.0436]	-0.8660	0.1875	0.2550
[207]	[-0.0032]	0.1022	0.4375	0.5034
[208]	[-0.0087]	0.1863	0.5625	0.4891
[209]	[0.0021]	-0.6241	0.5000	0.5193
[210]	[-0.0002]	0.0122	0.6875	0.6043
[211]	[0.0084]	-0.6257	0.4375	0.4402
[212]	[0.0002]	-0.1440	0.4375	0.4794
[213]	[0.0003]	-0.3735	0.3750	0.3282
[214]	[0.0044]	-0.3172	0.3750	0.3305
[215]	[-0.0290]	1.3097	0.3125	0.3001
[216]	[0.0106]	-0.4218	0.5000	0.4637
[217]	[0.0119]	-1.2214	0.1875	0.2019
[218]	[0.0031]	-0.7688	0.2500	0.2218
[219]	[-0.0051]	0.2603	0.5000	0.4786
[220]	[0.0011]	-0.0701	0.5625	0.5040
[221]	[-0.0062]	0.3126	0.5000	0.4938
[222]	[-0.0096]	0.5605	0.4375	0.4273
[223]	[0.0015]	-0.5220	0.3750	0.3198
[224]	[-0.0010]	0.0340	0.5625	0.5220
[225]	[-0.0117]	0.2814	0.5000	0.5127
[226]	[0.0120]	-0.6066	0.3750	0.3759
[227]	[0.0168]	-1.4131	0.3750	0.3832
[228]	[0.0266]	-1.2987	0.2500	0.3080
[229]	[0.0012]	-0.0857	0.5000	0.4832
[230]	[0.0138]	-1.0341	0.2500	0.2305
[231]	[0.0055]	-0.2795	0.4375	0.4360
[232]	[-0.0155]	0.4966	0.5000	0.5092
[233]	[-0.0035]	0.9791	0.3125	0.3965
[234]	[-0.0026]	0.1841	0.5000	0.4840
[235]	[0.0128]	-1.3495	0.3125	0.3684
[236]	[0.0193]	-0.8770	0.3750	0.4163
[237]	[-0.0088]	0.7395	0.5000	0.4560
[238]	[0.0096]	-0.3645	0.5625	0.5132
[239]	[0.0263]	-0.4725	0.3750	0.3753
[240]	[-0.0063]	0.4814	0.5000	0.4128
[241]	[0.0005]	-0.3063	0.4375	0.3642
[242]	[0.0180]	-1.0178	0.3125	0.3781
[243]	[0.0213]	-0.6460	0.4375	0.3973
[244]	[0.0153]	-0.6208	0.5000	0.4611
[245]	[0.0061]	-0.4322	0.3750	0.4403
[246]	[0.0207]	-0.4397	0.3750	0.3792
[247]	[-0.0435]	1.2798	0.1875	0.2121
[248]	[0.0105]	-0.3033	0.5000	0.4708
[249]	[0.0000]	-0.2046	0.4375	0.4395
[250]	[0.0142]	-0.5398	0.5625	0.4896
[251]	[-0.0145]	1.3394	0.1875	0.2499
[252]	[-0.0220]	0.4993	0.5625	0.5506
[253]	[-0.0002]	0.0054	0.3750	0.4541
[254]	[-0.0044]	0.3237	0.5000	0.4908
[255]	[0.0116]	-0.3267	0.4375	0.3627
[256]	[-0.0069]	0.2284	0.4375	0.4493
[257]	[-0.0001]	0.0025	0.4375	0.5007
[258]	[0.0134]	-0.3437	0.4375	0.4123
[259]	[-0.0061]	0.1924	0.5625	0.4517
[260]	[0.0002]	-1.9623	0.2500	0.3220
[261]	[-0.0013]	0.2051	0.5625	0.5422
[262]	[-0.0276]	1.3238	0.3750	0.3245
[263]	[0.0324]	-0.8001	0.3125	0.3164
[264]	[-0.0101]	3.4134	0.1250	0.1673
[265]	[0.0029]	-0.3032	0.5000	0.4745
[266]	[0.0079]	-0.3377	0.3750	0.3386
[267]	[0.0011]	-0.1936	0.5625	0.4806
[268]	[0.0012]	-0.3034	0.4375	0.4752
[269]	[0.0283]	-0.5925	0.4375	0.4033
[270]	[-0.0272]	1.1362	0.2500	0.2986
[271]	[0.0044]	-0.3718	0.5000	0.4780
[272]	[-0.0095]	0.8775	0.4375	0.4330
[273]	[-0.0068]	0.2534	0.5625	0.4901
[274]	[0.0028]	-0.0754	0.5625	0.5449
[275]	[-0.0039]	0.2179	0.4375	0.3536
[276]	[0.0027]	-0.2953	0.3750	0.3159
[277]	[-0.0018]	0.1462	0.3125	0.4012
[278]	[-0.0105]	0.3420	0.3125	0.4177
[279]	[0.0172]	-0.4920	0.3750	0.3528
[280]	[0.0027]	-0.0567	0.6875	0.5606
[281]	[-0.0109]	0.4730	0.3750	0.4174
[282]	[-0.0007]	0.1845	0.5000	0.4315
[283]	[-0.0124]	0.1353	0.4375	0.4269
[284]	[-0.0076]	0.2206	0.2500	0.3564
[285]	[-0.0019]	0.0525	0.3750	0.4527
[286]	[0.0161]	-0.3352	0.4375	0.4267
[287]	[0.0005]	-0.0411	0.5000	0.5022
[288]	[0.0321]	-1.2879	0.3125	0.2912
[289]	[0.0195]	-0.8767	0.3750	0.3837
[290]	[0.0003]	-0.0059	0.5625	0.5640
[291]	[-0.0240]	0.5121	0.4375	0.4607
