gene index	a_n	m	resub	bresub
[234]	[0.0088]	-0.3940	0.4667	0.4506
[235]	[-0.0022]	0.3234	0.5333	0.5081
[236]	[-0.0216]	1.2487	0.2000	0.3005
[237]	[0.0152]	-1.0158	0.3333	0.3678
[238]	[-0.0444]	2.4981	0.2667	0.2833
[239]	[-0.0408]	1.2841	0.2667	0.2721
[240]	[0.0081]	-0.4481	0.3333	0.3709
[241]	[0.0016]	-0.2293	0.6000	0.4682
[242]	[-0.0104]	0.5962	0.4000	0.4302
[243]	[0.0013]	0.1010	0.4667	0.4667
[244]	[0.0239]	-0.6226	0.4667	0.4432
[245]	[-0.0014]	0.2239	0.3333	0.4224
[246]	[-0.0190]	0.5917	0.4667	0.4273
[247]	[0.0013]	0.0815	0.4667	0.4658
[248]	[0.0135]	-0.0660	0.4667	0.4516
[249]	[-0.0000]	0.2242	0.4667	0.4500
[250]	[-0.0274]	1.4891	0.2667	0.2875
[251]	[0.0054]	-0.4801	0.3333	0.4429
[252]	[-0.0025]	0.1994	0.4000	0.4116
[253]	[-0.0091]	0.4447	0.6000	0.6057
[254]	[0.0115]	-0.6096	0.3333	0.4141
[255]	[-0.0102]	0.2788	0.5333	0.4575
[256]	[-0.0067]	0.3925	0.3333	0.3820
[257]	[-0.0247]	0.8893	0.3333	0.3611
[258]	[-0.0117]	0.4327	0.5333	0.5134
[259]	[0.0025]	0.0466	0.4667	0.5376
[260]	[-0.0001]	1.0526	0.4000	0.3524
[261]	[0.0267]	-3.3601	0.2000	0.2597
[262]	[0.0062]	-0.2028	0.4667	0.4304
[263]	[0.0005]	0.1265	0.4667	0.4667
[264]	[0.0045]	-1.5816	0.3333	0.3309
[265]	[-0.0020]	0.3054	0.6000	0.5742
[266]	[0.0028]	0.0829	0.4667	0.4831
[267]	[0.0085]	-1.0650	0.3333	0.3708
[268]	[0.0051]	-0.9536	0.4667	0.4512
[269]	[-0.0191]	0.4238	0.4667	0.4607
[270]	[-0.0009]	0.1885	0.4667	0.4607
[271]	[-0.0036]	0.4251	0.3333	0.3823
[272]	[-0.0067]	0.9610	0.4000	0.3826
[273]	[0.0170]	-0.3863	0.3333	0.4074
[274]	[-0.0181]	0.8550	0.2667	0.3108
[275]	[0.0019]	-0.0007	0.4667	0.5761
[276]	[0.0086]	-0.0972	0.6000	0.5202
[277]	[-0.0027]	0.6353	0.3333	0.3083
[278]	[-0.0071]	0.4017	0.4000	0.3908
[279]	[-0.0318]	1.2297	0.4667	0.3784
[280]	[0.0097]	-0.0484	0.4000	0.4391
[281]	[-0.0108]	0.6986	0.4667	0.4239
[282]	[0.0005]	-0.0014	0.4667	0.5866
[283]	[-0.0159]	0.5961	0.4000	0.3278
[284]	[-0.0056]	0.3268	0.3333	0.3473
[285]	[0.0096]	-0.1155	0.5333	0.5223
[286]	[0.0481]	-0.4732	0.3333	0.3622
[287]	[0.0040]	-0.1677	0.4000	0.4573
[288]	[-0.0155]	0.6006	0.4667	0.3791
[289]	[-0.0037]	0.2742	0.5333	0.5084
[290]	[0.0311]	-0.4381	0.4000	0.4258
