gene index	a_n	m	resub	bresub
[165]	[-0.0005]	0.4014	0.5000	0.4396
[166]	[0.0021]	-0.1305	0.4375	0.4890
[167]	[0.0012]	-0.2184	0.5000	0.5307
[168]	[0.0576]	-1.1796	0.3125	0.2758
[169]	[-0.0023]	0.0628	0.6250	0.5200
[170]	[-0.0001]	0.0208	0.4375	0.4936
[171]	[-0.0015]	0.4065	0.4375	0.4717
[172]	[0.0007]	-0.1027	0.5625	0.5059
[173]	[-0.0166]	1.0544	0.5000	0.4473
[174]	[0.0164]	-1.5909	0.3125	0.3153
[175]	[0.0005]	-0.0114	0.5000	0.4940
[176]	[0.0044]	-0.4239	0.3750	0.3093
[177]	[0.0106]	-0.3577	0.5000	0.4463
[178]	[0.0001]	-0.0079	0.5000	0.5158
[179]	[-0.0141]	0.9648	0.2500	0.2959
[180]	[0.0210]	-0.7043	0.3125	0.3672
[181]	[-0.0091]	0.2840	0.3125	0.3789
[182]	[0.0127]	-6.0916	0.2500	0.2401
[183]	[0.0121]	-1.6388	0.3125	0.3188
[184]	[0.0116]	-0.4768	0.4375	0.4209
[185]	[-0.0377]	1.0288	0.3125	0.3320
[186]	[0.0154]	-1.0631	0.3125	0.3358
[187]	[-0.0002]	0.2123	0.4375	0.4365
[188]	[-0.0247]	0.8975	0.3125	0.3177
[189]	[0.0250]	-1.6401	0.4375	0.3809
[190]	[0.0077]	-0.6217	0.3750	0.3228
[191]	[-0.0285]	2.5758	0.2500	0.2915
[192]	[0.0151]	-0.6306	0.3750	0.3152
[193]	[0.0018]	-0.0628	0.5625	0.5657
[194]	[0.0171]	-0.2653	0.5000	0.5163
[195]	[-0.0116]	0.3876	0.4375	0.4382
[196]	[0.0025]	-0.0532	0.3750	0.4115
[197]	[-0.0155]	0.8977	0.4375	0.4405
[198]	[0.0079]	-0.9495	0.5000	0.4481
[199]	[0.0062]	-0.3051	0.4375	0.4010
[200]	[0.0209]	-0.4289	0.3125	0.2954
[201]	[0.0014]	-0.4433	0.4375	0.4836
[202]	[0.0055]	-0.6712	0.3750	0.2887
[203]	[0.0195]	-1.0050	0.3750	0.3784
[204]	[0.0078]	-1.8651	0.1875	0.2581
[205]	[0.0084]	-0.3431	0.3750	0.2360
[206]	[0.0031]	-0.0949	0.4375	0.4512
[207]	[-0.0070]	0.2503	0.4375	0.4487
[208]	[-0.0177]	0.4640	0.3750	0.4176
[209]	[0.0021]	-0.6129	0.4375	0.4567
[210]	[0.0040]	-0.1992	0.2500	0.3937
[211]	[0.0098]	-0.7278	0.3750	0.4034
[212]	[0.0001]	-0.0765	0.5625	0.4942
[213]	[0.0004]	-0.4177	0.3750	0.2971
[214]	[0.0048]	-0.3363	0.4375	0.3745
[215]	[0.0281]	-0.7561	0.3125	0.3652
[216]	[0.0015]	-0.0623	0.4375	0.4303
[217]	[0.0079]	-0.9002	0.2500	0.3326
[218]	[0.0031]	-0.7675	0.2500	0.2210
[219]	[-0.0158]	0.8973	0.3125	0.4059
[220]	[-0.0003]	0.0165	0.5000	0.5260
[221]	[-0.0149]	0.7366	0.4375	0.4330
[222]	[-0.0097]	0.5339	0.3750	0.3884
[223]	[0.0020]	-0.6110	0.2500	0.2189
[224]	[-0.0062]	0.2246	0.5625	0.4990
[225]	[0.0204]	-0.3794	0.3750	0.3726
[226]	[0.0183]	-0.7870	0.2500	0.2138
[227]	[0.0135]	-1.1045	0.4375	0.4228
[228]	[-0.0077]	0.5283	0.4375	0.4615
[229]	[-0.0053]	0.5714	0.3750	0.4005
[230]	[0.0113]	-0.9266	0.3125	0.2836
[231]	[0.0168]	-0.6794	0.3750	0.3108
[232]	[-0.0134]	0.5364	0.4375	0.4496
[233]	[-0.0002]	0.0655	0.5625	0.5304
[234]	[0.0074]	-0.4379	0.3750	0.4301
[235]	[0.0020]	-0.2405	0.5625	0.5078
[236]	[0.0564]	-2.1080	0.2500	0.3146
[237]	[-0.0060]	0.4973	0.5000	0.4841
[238]	[0.0263]	-0.9196	0.5000	0.4472
[239]	[-0.0462]	1.2707	0.3125	0.3030
[240]	[-0.0046]	0.2943	0.3750	0.4556
[241]	[0.0006]	-0.3496	0.3750	0.3083
[242]	[0.0144]	-0.8270	0.3750	0.4158
[243]	[0.0332]	-0.9396	0.3125	0.3425
[244]	[0.0194]	-0.7407	0.5000	0.4505
[245]	[0.0168]	-1.0663	0.3750	0.4424
[246]	[0.0401]	-0.7901	0.3750	0.3404
[247]	[-0.0368]	0.7165	0.4375	0.4792
[248]	[-0.0006]	0.0239	0.4375	0.4485
[249]	[-0.0000]	0.5515	0.3125	0.3538
[250]	[-0.0020]	0.0875	0.3750	0.4266
[251]	[-0.0044]	0.2419	0.5625	0.4883
[252]	[0.0244]	-0.4047	0.3125	0.3623
[253]	[0.0062]	-0.1957	0.5625	0.4882
[254]	[0.0032]	-0.2087	0.5625	0.5056
[255]	[-0.0093]	0.6833	0.3750	0.3707
[256]	[-0.0313]	1.4056	0.1875	0.2772
[257]	[-0.0143]	0.3841	0.4375	0.4217
[258]	[0.0165]	-0.4302	0.4375	0.4284
[259]	[-0.0207]	0.7309	0.3750	0.3687
[260]	[0.0003]	-2.5201	0.2500	0.3090
[261]	[0.0070]	-0.9515	0.3750	0.3767
[262]	[-0.0105]	0.4539	0.3750	0.3897
[263]	[0.0108]	-0.3271	0.4375	0.4391
[264]	[-0.0130]	3.8100	0.3125	0.3147
[265]	[0.0034]	-0.3439	0.5625	0.5055
[266]	[0.0109]	-0.3998	0.3750	0.2855
[267]	[0.0046]	-0.8027	0.5625	0.4582
[268]	[0.0054]	-1.2011	0.3750	0.3682
[269]	[0.0312]	-0.6004	0.3125	0.3052
[270]	[-0.0197]	0.7229	0.4375	0.3870
[271]	[0.0086]	-0.6414	0.4375	0.3820
