gene index	a_n	m	resub	bresub
[363]	[0.0030]	0.6313	0.3182	0.3182
[364]	[-0.0067]	1.3386	0.2727	0.2866
[365]	[-0.0333]	1.7880	0.2727	0.2715
[366]	[0.0045]	0.0761	0.3182	0.3148
[367]	[0.0121]	-0.8135	0.2273	0.2223
[368]	[-0.0209]	1.3252	0.3182	0.2974
[369]	[0.0006]	0.0201	0.3182	0.3386
[370]	[0.0098]	0.5708	0.3182	0.3182
[371]	[0.0110]	0.3954	0.3182	0.3328
[372]	[0.0031]	-3.2168	0.1364	0.1610
[373]	[-0.0019]	0.9873	0.3182	0.3182
[374]	[0.0106]	0.4101	0.3182	0.3182
[375]	[0.0015]	0.6809	0.3182	0.3182
[376]	[0.0014]	-0.2868	0.2727	0.2675
[377]	[0.0249]	0.0390	0.3182	0.3450
[378]	[0.0171]	0.5595	0.3182	0.3182
[379]	[0.0007]	0.3916	0.3182	0.3182
[380]	[-0.0014]	0.8903	0.3182	0.3182
[381]	[-0.0008]	0.8772	0.3182	0.3182
[382]	[0.0052]	0.3185	0.3182	0.3182
[383]	[0.0019]	0.7052	0.3182	0.3182
[384]	[0.0156]	0.4093	0.3182	0.3204
[385]	[0.0108]	0.0740	0.3182	0.3033
[386]	[-0.0015]	0.8913	0.3182	0.3182
[387]	[0.0204]	0.2028	0.3182	0.3220
[388]	[0.0079]	0.4568	0.3182	0.3182
[389]	[0.0076]	0.5324	0.3182	0.3182
[390]	[-0.0011]	0.8019	0.3182	0.3182
[391]	[0.0185]	-0.0938	0.2273	0.2673
[392]	[0.0292]	0.1539	0.3182	0.3136
[393]	[-0.0145]	1.5539	0.3182	0.3099
[394]	[-0.0245]	1.4115	0.2273	0.2448
[395]	[-0.0055]	1.1776	0.2727	0.3083
[396]	[0.0201]	0.5350	0.3182	0.3181
[397]	[0.0022]	0.5634	0.3182	0.3182
[398]	[0.0036]	-0.8995	0.2727	0.2446
[399]	[-0.0081]	0.8183	0.3182	0.3182
[400]	[0.0005]	0.6896	0.3182	0.3182
[401]	[-0.0076]	1.2354	0.2727	0.2523
[402]	[0.0015]	0.6549	0.3182	0.3182
[403]	[0.0191]	-0.2229	0.3636	0.3701
[404]	[0.0069]	0.6513	0.3182	0.3182
[405]	[-0.0309]	2.1949	0.2273	0.2207
[406]	[0.0012]	0.6110	0.3182	0.3182
[407]	[0.0143]	-0.0736	0.2273	0.2502
[408]	[0.0029]	0.6696	0.3182	0.3182
[409]	[0.0337]	-0.3670	0.2273	0.2367
[410]	[-0.0125]	1.3164	0.2727	0.2596
[411]	[0.0162]	0.2904	0.3182	0.3203
[412]	[0.0099]	0.0983	0.3182	0.3711
[413]	[0.0007]	0.4181	0.3182	0.3339
[414]	[0.0230]	0.4322	0.3182	0.3182
[415]	[0.0077]	0.3815	0.3182	0.3191
[416]	[0.0296]	0.3944	0.3182	0.3206
[417]	[-0.0010]	0.8036	0.3182	0.3182
[418]	[0.0068]	0.4763	0.3182	0.3182
[419]	[0.0218]	0.0537	0.3182	0.3492
[420]	[0.0210]	0.5732	0.3182	0.3181
