gene index	a_n	m	resub	bresub
[221]	[0.0152]	-0.6231	0.4667	0.4643
[222]	[-0.0023]	0.4631	0.3333	0.2790
[223]	[-0.0044]	0.4870	0.4000	0.4210
[224]	[-0.0093]	0.5341	0.4667	0.4744
[225]	[0.0367]	-0.2604	0.4000	0.3782
[226]	[-0.0601]	1.8202	0.2000	0.2341
[227]	[0.0042]	-0.1217	0.6000	0.5412
[228]	[0.0024]	-0.0423	0.4667	0.4851
[229]	[0.0055]	-0.4428	0.4000	0.3902
[230]	[0.0331]	-0.9517	0.2667	0.3209
[231]	[-0.0138]	0.5274	0.4000	0.3792
[232]	[0.0096]	-0.2824	0.6000	0.5383
[233]	[0.0037]	-0.7401	0.5333	0.5127
[234]	[0.0046]	-0.0972	0.5333	0.5031
[235]	[0.0066]	-0.5591	0.5333	0.4767
[236]	[-0.0393]	1.8430	0.2000	0.2329
[237]	[0.0108]	-0.6698	0.4667	0.4142
[238]	[-0.0603]	3.1621	0.2667	0.2299
[239]	[-0.0148]	0.6945	0.4000	0.4036
[240]	[0.0116]	-0.5572	0.4667	0.4596
[241]	[0.0011]	-0.0344	0.5333	0.6231
[242]	[-0.0062]	0.4137	0.4667	0.4611
[243]	[-0.0084]	0.3222	0.4667	0.4178
[244]	[0.0083]	-0.1090	0.6000	0.5567
[245]	[-0.0060]	0.4886	0.4000	0.4207
[246]	[-0.0277]	0.7596	0.4000	0.3545
[247]	[-0.0176]	0.6781	0.3333	0.3289
[248]	[0.0776]	-1.9166	0.2000	0.2451
[249]	[0.0001]	-0.5495	0.2667	0.2957
[250]	[-0.0144]	0.9379	0.2667	0.3420
[251]	[-0.0056]	0.5719	0.4000	0.4026
[252]	[-0.0199]	0.5408	0.4000	0.3561
[253]	[-0.0336]	1.2559	0.4667	0.4316
[254]	[0.0055]	-0.1795	0.5333	0.4719
[255]	[0.0198]	-1.0500	0.2000	0.2247
[256]	[0.0105]	-0.3915	0.3333	0.3770
[257]	[-0.0074]	0.3938	0.4000	0.4288
[258]	[-0.0141]	0.5010	0.4667	0.4368
[259]	[0.0104]	-0.2704	0.4000	0.4278
[260]	[-0.0002]	1.6124	0.4000	0.3517
[261]	[0.0050]	-0.4053	0.6000	0.4666
[262]	[-0.0023]	0.2459	0.4667	0.4836
[263]	[0.0149]	-0.1710	0.2667	0.3675
[264]	[0.0020]	-0.5251	0.4667	0.4801
[265]	[-0.0042]	0.4939	0.5333	0.5741
[266]	[-0.0409]	0.6463	0.2000	0.3328
[267]	[0.0212]	-2.7070	0.2667	0.3062
[268]	[0.0001]	0.1209	0.4667	0.4667
[269]	[-0.0264]	0.4901	0.3333	0.3398
[270]	[-0.0051]	0.4109	0.4000	0.4252
[271]	[-0.0099]	0.8197	0.3333	0.3638
[272]	[-0.0060]	0.9032	0.3333	0.3755
[273]	[-0.0033]	0.1965	0.4000	0.4268
[274]	[-0.0082]	0.5015	0.3333	0.4084
[275]	[-0.0265]	1.0950	0.3333	0.3046
[276]	[0.0006]	0.1208	0.4667	0.4667
[277]	[-0.0034]	0.7005	0.2667	0.2413
[278]	[0.0063]	-0.1557	0.6000	0.4988
[279]	[-0.0042]	0.3177	0.4667	0.4892
[280]	[-0.0034]	0.1911	0.4667	0.4797
[281]	[-0.0077]	0.5426	0.4000	0.4647
[282]	[-0.0018]	0.5016	0.6000	0.4695
[283]	[-0.0204]	0.6632	0.2667	0.2395
[284]	[0.0007]	0.1054	0.4667	0.4667
[285]	[0.0228]	-0.6424	0.3333	0.3744
[286]	[0.0393]	-0.5111	0.4000	0.3457
[287]	[0.0052]	-0.2636	0.4000	0.4430
[288]	[-0.0129]	0.5329	0.4000	0.3592
[289]	[0.0101]	-0.3057	0.4000	0.4424
[290]	[0.0218]	-0.2315	0.4667	0.4732
[291]	[-0.0393]	0.9278	0.2667	0.3023
[292]	[-0.0210]	0.4892	0.3333	0.3701
[293]	[-0.0144]	0.3617	0.5333	0.4905
[294]	[0.0307]	-0.7961	0.3333	0.3292
[295]	[0.0414]	-1.0992	0.2000	0.2880
[296]	[0.0008]	-0.1873	0.4000	0.4752
[297]	[0.0109]	-1.7312	0.3333	0.3278
[298]	[-0.0025]	0.1858	0.4667	0.4757
[299]	[-0.0370]	1.8214	0.2000	0.2485
[300]	[0.0056]	-0.0007	0.4000	0.4283
[301]	[0.0026]	0.0048	0.4667	0.4825
[302]	[0.0031]	0.0019	0.4667	0.4088
[303]	[0.0314]	-0.4754	0.3333	0.3620
[304]	[0.0022]	0.0170	0.4667	0.5140
