"","ACKG.292","ACKG.339","ACKG.348","ACKG.354","ACKG.382","ACKG.396","ACKG.397","ACKG.415","ACKG.416","ACKG.419","ACKG.420","ACKG.426","ACKG.433","ACKG.435","ACKG.440","HACKG.182","HACKG.185","HACKG.251","HACKG.271","HACKG.282","HACKG.306","HACKG.307","HACKG.320","HACKG.321","HACKG.328","HACKG.331","HACKG.342","HACKG.344","HACKG.353","HACKG.356","HACKG.358","HACKG.364","HACKG.367","HACKG.389","HACKG.395","HACKG.396","HACKG.417","HACKG.419"
"ENSMUSG00000023913",0,6,4,3,1,0,0,9,0,0,0,0,3,0,2,31,1,17,0,0,2,1,7,6,5,3,0,0,0,3,4,0,4,0,0,0,8,0
"ENSMUSG00000023914",5,4,0,7,11,11,9,7,0,0,4,9,4,0,7,5,3,3,11,0,6,7,0,0,2,13,7,11,4,3,9,11,7,5,20,9,4,9
"ENSMUSG00000023915",11,4,4,3,12,5,2,4,6,7,4,0,0,0,0,1,3,8,7,0,0,6,0,0,0,0,12,7,1,0,4,0,1,5,0,7,2,6
"ENSMUSG00000023923",0,10,0,2,1,2,6,4,3,6,7,5,4,9,2,3,4,4,8,6,0,2,10,4,20,5,14,1,3,6,9,14,6,2,0,7,6,2
"ENSMUSG00000023927",1,6,2,2,1,18,2,4,22,7,4,5,8,5,5,18,4,3,2,12,0,1,10,12,12,5,2,1,0,9,4,14,6,0,4,2,12,0
"ENSMUSG00000023932",8,6,0,3,4,0,11,2,0,3,23,4,15,0,6,5,3,3,9,9,2,6,3,0,2,6,2,10,3,0,4,0,5,5,0,0,8,2
"ENSMUSG00000023940",0,2,0,12,0,5,2,0,19,6,9,7,0,9,5,1,1,1,1,0,2,0,3,6,2,3,11,0,1,17,23,8,4,10,7,7,4,2
"ENSMUSG00000023944",34,65,94,50,260,54,72,86,26,56,52,65,92,97,46,229,172,178,117,35,52,115,155,77,2,75,46,58,87,77,47,17,198,58,55,35,32,40
"ENSMUSG00000023951",51,34,9,20,75,23,35,29,16,21,20,18,42,5,31,26,28,38,30,17,4,39,9,12,15,27,39,29,14,26,21,25,35,24,48,20,36,38
"ENSMUSG00000023952",21,24,15,17,37,7,17,23,19,37,9,18,17,0,24,12,18,14,11,3,8,15,21,8,0,5,18,12,14,26,9,11,25,0,4,15,8,7
