"","ACKG.292","ACKG.339","ACKG.348","ACKG.354","ACKG.382","ACKG.396","ACKG.397","ACKG.415","ACKG.416","ACKG.419","ACKG.420","ACKG.426","ACKG.433","ACKG.435","ACKG.440","HACKG.182","HACKG.185","HACKG.251","HACKG.271","HACKG.282","HACKG.306","HACKG.307","HACKG.320","HACKG.321","HACKG.328","HACKG.331","HACKG.342","HACKG.344","HACKG.353","HACKG.356","HACKG.358","HACKG.364","HACKG.367","HACKG.389","HACKG.395","HACKG.396","HACKG.417","HACKG.419"
"ENSMUSG00000031711",8,2,2,3,13,5,7,11,0,3,4,15,4,0,0,10,10,13,3,6,4,7,5,2,5,6,2,10,3,0,6,0,7,0,0,13,12,4
"ENSMUSG00000031712",4,0,4,7,4,0,8,11,0,0,7,4,3,0,5,6,1,2,4,3,4,4,2,0,2,0,0,19,1,0,0,0,7,5,4,4,6,8
"ENSMUSG00000031714",0,0,4,0,2,152,1,1,0,0,0,2,1,2,6,0,0,1,0,3,4,0,0,0,0,0,2,5,0,6,4,8,1,0,0,0,2,2
"ENSMUSG00000031715",10,4,2,3,2,2,0,5,0,0,4,2,1,0,0,7,3,5,2,0,8,3,5,4,5,0,0,2,1,0,2,0,9,5,4,11,6,2
"ENSMUSG00000031729",18,22,9,13,18,2,15,14,6,11,21,5,18,5,8,15,10,13,17,35,4,15,10,13,2,29,27,12,17,11,11,0,18,5,22,4,24,1
"ENSMUSG00000031732",21,12,11,23,11,11,38,17,16,7,16,18,9,7,25,6,3,10,12,0,6,43,2,10,12,6,37,17,13,6,17,3,10,19,17,9,14,19
"ENSMUSG00000031751",10,6,8,0,9,0,9,7,3,4,0,4,1,5,11,4,1,10,4,0,4,6,2,0,0,2,4,7,0,0,0,0,5,0,4,4,0,8
"ENSMUSG00000031765",3,0,0,0,4,2,6,4,3,0,0,0,0,0,5,2,1,4,0,0,2,4,2,0,0,0,4,4,1,3,4,0,8,0,2,4,0,1
"ENSMUSG00000031770",8,4,0,2,8,2,10,2,0,0,0,0,3,0,0,3,1,2,5,0,0,1,3,2,0,3,0,0,13,0,0,0,1,0,4,2,0,1
"ENSMUSG00000031775",13,12,0,0,12,5,9,10,0,3,0,7,3,0,5,2,3,11,2,6,4,11,2,0,0,0,0,24,0,6,2,6,1,5,0,7,16,28
"ENSMUSG00000031783",25,16,11,8,29,11,23,25,0,23,5,13,5,5,19,18,20,16,15,17,24,14,3,12,5,8,7,29,0,20,8,17,16,5,13,0,6,38
"ENSMUSG00000031788",3,4,2,23,0,2,1,1,3,1,7,0,0,2,1,0,1,3,4,32,6,0,2,10,0,5,0,0,88,6,4,0,1,2,0,0,14,0
"ENSMUSG00000031799",3,0,2,0,5,2,0,2,0,0,9,0,3,0,0,22,0,6,0,12,4,4,0,4,2,2,2,0,1,3,0,0,8,7,0,0,4,2
"ENSMUSG00000031812",24,4,4,10,10,5,4,8,0,7,28,4,18,5,1,6,8,7,8,6,12,12,10,2,2,0,9,7,3,6,2,8,6,7,7,0,10,9
"ENSMUSG00000031816",1,4,2,23,0,5,2,2,3,6,7,7,1,5,8,1,3,1,1,3,2,1,9,2,20,3,5,1,13,20,4,22,0,10,9,9,10,4
"ENSMUSG00000031819",212,266,553,585,24,154,57,105,441,203,246,349,120,230,238,43,289,57,248,280,431,40,490,302,352,197,180,133,159,794,323,227,83,216,455,594,441,95
"ENSMUSG00000031822",3,0,9,2,5,0,2,4,0,0,4,4,3,0,4,0,0,2,2,0,6,1,3,6,17,3,4,5,3,0,4,3,2,2,15,0,2,4
"ENSMUSG00000031824",0,6,2,0,2,5,1,1,0,4,5,0,10,0,2,7,3,4,2,0,0,2,0,0,2,3,4,0,4,0,6,0,4,0,0,0,0,1
"ENSMUSG00000031858",9,0,21,13,14,5,21,18,6,16,2,9,12,14,11,6,9,9,11,23,10,6,7,15,5,3,7,17,4,14,9,3,11,14,17,4,6,13
"ENSMUSG00000031878",4,0,4,3,2,0,4,2,0,4,0,0,3,2,6,2,4,4,3,0,0,5,0,2,7,0,16,0,4,6,8,0,4,2,0,9,0,7
"ENSMUSG00000031886",1,2,0,8,8,0,1,5,0,11,7,7,1,2,0,4,6,5,2,3,2,3,2,4,0,2,0,2,0,0,2,6,2,0,9,0,4,5
"ENSMUSG00000031887",6,0,15,0,4,16,1,4,0,3,0,5,4,2,7,3,4,1,2,3,2,0,0,6,2,2,2,2,4,3,6,0,2,0,7,7,4,4
"ENSMUSG00000031902",5,4,4,8,5,7,8,8,3,1,18,15,12,11,11,10,6,7,2,0,4,6,10,8,0,2,7,10,4,3,6,6,13,0,4,0,8,7
"ENSMUSG00000031906",6,0,4,3,1,5,2,2,3,3,9,2,8,5,5,1,4,2,5,3,14,0,3,0,5,2,2,1,1,0,8,3,3,2,11,9,4,1
"ENSMUSG00000031910",0,4,9,2,2,7,2,1,0,4,0,4,22,9,4,1,0,1,1,6,6,0,12,2,7,5,9,1,14,0,6,6,1,2,2,2,6,0
"ENSMUSG00000031924",0,2,4,0,5,0,0,8,3,1,0,2,6,0,2,6,3,5,4,0,0,1,7,0,0,3,0,0,1,0,2,0,6,0,11,2,4,0
"ENSMUSG00000031930",15,6,4,12,6,0,13,5,3,3,4,0,9,0,15,3,5,3,10,0,22,8,3,2,7,8,5,4,12,6,6,0,5,14,0,2,6,11
"ENSMUSG00000031938",14,12,21,22,10,16,26,18,3,24,30,0,18,18,10,44,13,34,23,9,14,35,12,10,12,21,18,7,10,6,13,6,31,12,13,11,18,11
"ENSMUSG00000031939",10,0,15,12,9,5,9,12,6,1,2,4,23,18,11,11,16,12,12,0,18,9,9,12,2,2,12,13,13,6,2,6,15,0,0,4,4,8
"ENSMUSG00000031950",3,2,0,2,5,0,3,7,0,6,0,0,3,2,1,4,3,6,5,0,4,4,3,4,2,3,0,2,1,0,0,0,15,5,0,0,0,0
"ENSMUSG00000031954",0,12,4,0,5,0,2,3,0,4,4,0,0,0,4,4,3,2,10,0,0,3,0,0,5,0,2,4,0,0,0,0,9,0,0,4,4,2
"ENSMUSG00000031987",3,2,2,2,6,0,6,2,3,3,0,4,4,0,0,6,5,7,0,6,0,4,2,0,0,3,14,7,6,0,8,0,6,0,0,0,6,13
"ENSMUSG00000031995",5,6,4,8,8,2,3,6,3,4,0,4,6,5,5,2,14,6,7,6,4,6,7,2,5,6,5,4,0,0,2,6,9,0,13,2,10,2
"ENSMUSG00000031996",18,4,13,10,29,7,18,18,0,6,27,5,15,16,10,17,20,19,24,9,4,27,3,17,12,18,11,24,14,3,15,3,22,12,13,28,4,19
"ENSMUSG00000032000",14,14,11,5,21,11,22,40,6,26,9,25,9,18,24,35,20,34,20,3,16,14,17,27,5,19,25,23,23,3,13,3,20,12,0,13,32,11
"ENSMUSG00000032009",16,6,8,10,14,7,2,8,6,9,4,2,6,5,4,3,9,13,15,6,10,9,0,0,2,13,9,0,6,6,6,0,10,0,4,2,14,0
"ENSMUSG00000032017",0,0,6,0,0,2,0,1,3,3,4,0,4,7,4,23,2,1,3,0,0,0,3,0,10,0,4,0,1,11,4,0,1,5,11,7,6,1
"ENSMUSG00000032018",189,75,124,29,265,127,126,116,29,109,46,38,41,23,133,76,163,181,91,52,166,149,17,42,15,41,90,132,52,57,57,134,93,10,420,96,79,97
"ENSMUSG00000032030",3,8,0,2,3,0,3,6,0,9,2,0,6,2,10,6,8,1,4,3,0,7,9,21,10,2,4,7,3,3,15,6,5,7,0,4,2,6
"ENSMUSG00000032050",1,0,2,0,2,2,3,4,0,6,4,5,5,0,2,5,1,3,3,0,0,3,9,6,0,6,0,8,1,0,6,0,3,0,0,2,0,7
"ENSMUSG00000032058",3,6,26,20,1,0,1,0,303,85,0,171,1,2,0,1,1,1,0,3,2,0,0,13,0,2,16,0,4,29,185,0,0,0,0,0,4,5
"ENSMUSG00000032068",45,132,17,39,24,68,35,81,6,79,23,109,99,18,25,87,231,84,123,66,84,4,84,40,2,331,35,11,61,40,2,6,136,5,9,17,68,6
"ENSMUSG00000032076",8,0,2,7,10,14,1,4,0,3,18,5,1,16,8,2,5,4,0,0,6,9,3,8,10,2,11,7,3,9,15,6,3,0,2,0,10,13
"ENSMUSG00000032083",6,10,53,10,4,16,5,8,26,19,4,11,3,0,24,14,29,46,4,23,18,17,24,19,5,25,58,2,36,63,17,42,24,7,129,44,18,22
"ENSMUSG00000032091",4,0,8,8,10,7,11,5,0,9,18,5,3,0,6,6,12,8,4,6,8,3,7,4,12,22,2,8,1,17,2,3,13,0,7,0,6,2
"ENSMUSG00000032096",11,4,2,10,7,7,16,8,6,10,5,4,9,7,12,6,7,9,12,3,4,12,2,21,15,3,16,4,7,6,17,3,9,19,4,11,6,7
"ENSMUSG00000032097",10,18,15,5,22,11,6,33,6,4,11,5,23,11,19,91,24,37,13,14,0,13,16,17,15,14,5,13,19,20,11,0,30,10,11,9,20,12
"ENSMUSG00000032116",3,4,0,0,4,2,3,4,0,0,0,0,0,0,0,2,3,5,0,0,0,3,7,6,0,5,2,2,3,0,6,11,2,2,0,2,0,2
"ENSMUSG00000032122",3,0,0,0,0,0,4,2,0,3,9,0,3,9,0,0,1,1,2,0,4,0,3,0,0,0,4,33,3,0,15,6,3,10,4,7,0,37
"ENSMUSG00000032128",5,10,9,37,1,23,3,0,19,13,4,5,8,5,6,1,1,0,1,3,4,1,2,23,22,6,14,0,20,17,11,8,6,2,4,7,0,2
"ENSMUSG00000032178",1,8,0,2,3,2,1,2,3,9,4,4,4,5,1,7,4,5,1,0,4,0,5,2,12,3,2,5,1,3,9,3,10,0,4,2,4,0
"ENSMUSG00000032199",107,93,70,20,147,43,85,70,10,115,27,47,32,36,54,68,114,109,41,55,66,81,42,12,25,45,49,80,38,40,28,123,67,22,87,41,34,78
"ENSMUSG00000032202",14,6,6,17,12,9,6,5,13,0,16,7,3,5,16,5,7,5,3,3,8,7,3,8,2,5,2,8,6,6,11,11,5,5,11,0,18,11
"ENSMUSG00000032212",35,45,47,18,44,9,30,53,29,26,28,42,44,27,33,53,42,32,45,43,18,30,45,50,17,40,39,46,51,60,38,22,46,82,22,22,38,35
"ENSMUSG00000032216",4,2,2,2,2,2,4,6,0,7,2,2,1,0,6,1,3,2,3,6,2,3,16,6,0,5,4,4,3,3,6,11,1,2,4,9,4,5
"ENSMUSG00000032217",9,8,4,7,5,9,3,1,6,3,7,9,6,5,2,6,1,6,2,3,0,3,2,2,5,3,0,10,0,6,8,0,6,5,0,0,8,2
"ENSMUSG00000032220",18,2,13,13,15,5,13,14,0,6,9,5,9,0,8,2,10,11,16,17,4,14,10,15,2,24,7,19,13,0,0,6,21,5,15,2,18,9
"ENSMUSG00000032226",4,2,2,15,16,7,12,7,0,14,18,0,6,9,10,5,10,4,1,0,4,10,5,6,5,3,4,2,1,0,6,3,8,2,0,9,2,4
"ENSMUSG00000032228",8,8,9,8,3,7,8,2,0,7,7,7,13,7,5,9,13,16,16,12,6,3,12,46,20,18,11,19,27,6,11,0,6,17,13,9,8,15
"ENSMUSG00000032231",13,0,0,5,29,16,3,9,0,20,4,7,6,2,7,12,14,15,13,12,20,9,3,15,2,29,11,4,7,9,4,0,8,0,17,7,6,7
"ENSMUSG00000032232",0,2,0,3,11,5,1,4,0,3,2,2,6,0,0,5,0,4,8,0,2,5,0,2,5,3,9,6,4,3,0,48,4,2,7,0,4,5
"ENSMUSG00000032238",15,6,2,2,1,0,0,3,0,3,0,5,4,7,1,1,3,1,2,3,0,1,10,6,15,3,2,1,4,9,9,8,1,0,7,7,0,2
"ENSMUSG00000032239",5,6,15,3,11,11,7,7,6,1,12,5,10,5,15,10,4,9,2,0,2,10,2,8,5,11,0,13,12,0,2,11,5,5,2,4,8,6
"ENSMUSG00000032249",4,0,11,5,13,2,2,8,0,0,4,5,1,5,4,22,4,13,2,6,4,9,0,2,2,0,0,5,1,3,0,3,9,0,2,0,0,2
"ENSMUSG00000032253",13,22,9,30,21,29,28,36,35,19,18,35,44,27,41,30,34,20,38,17,34,17,37,58,34,25,28,45,22,97,51,28,27,43,24,22,66,27
"ENSMUSG00000032254",0,8,0,12,1,5,2,4,3,9,0,5,3,0,0,7,5,8,0,6,0,0,5,8,2,6,2,2,3,9,2,3,6,2,0,7,2,2
"ENSMUSG00000032261",1,0,0,0,4,7,4,2,6,1,5,2,8,2,4,2,6,6,3,0,18,3,10,4,2,6,11,6,16,0,15,6,3,0,2,7,2,2
"ENSMUSG00000032265",83,34,70,99,67,77,120,107,19,63,144,80,92,63,86,51,75,78,130,49,56,151,63,60,22,123,85,100,106,34,79,20,76,101,35,98,85,98
"ENSMUSG00000032280",9,18,21,17,8,7,25,21,10,7,16,4,10,25,21,22,16,21,3,12,22,15,14,6,17,14,7,20,14,3,9,28,18,7,15,13,18,7
"ENSMUSG00000032293",4,4,0,0,5,0,0,1,6,9,0,4,8,2,6,4,1,3,7,0,12,3,5,10,5,0,5,6,0,9,11,17,8,0,7,2,4,5
"ENSMUSG00000032294",4,6,0,3,12,5,9,9,0,11,0,13,6,9,11,7,3,11,9,12,0,13,5,6,5,10,11,7,1,0,6,0,10,17,9,7,4,9
"ENSMUSG00000032301",8,10,6,8,6,5,2,5,0,7,11,7,9,2,10,9,10,11,10,12,6,8,3,6,12,5,2,5,14,11,6,11,15,10,9,2,0,11
"ENSMUSG00000032316",4,2,4,20,4,5,7,4,13,4,2,2,1,5,1,2,5,2,0,3,4,2,2,4,2,0,7,0,1,6,13,0,3,0,0,0,2,0
"ENSMUSG00000032324",6,4,0,2,6,0,8,8,3,9,0,9,12,5,2,5,9,11,4,0,30,13,3,4,0,3,2,13,4,0,2,6,6,0,0,13,8,20
"ENSMUSG00000032328",33,12,8,12,15,5,19,20,6,14,11,16,13,2,8,23,14,22,3,0,18,30,17,6,0,19,9,8,0,3,6,6,4,2,4,7,2,24
"ENSMUSG00000032329",6,2,11,2,0,7,1,2,13,7,4,2,1,0,1,3,3,1,0,9,2,6,3,2,29,5,0,6,3,0,2,3,0,10,7,0,4,8
"ENSMUSG00000032336",10,16,6,10,32,43,15,12,0,9,9,0,18,32,24,14,18,29,15,3,18,19,7,8,25,14,11,12,9,9,6,0,6,24,22,17,4,6
"ENSMUSG00000032340",3,4,11,12,4,5,9,4,0,3,2,2,0,0,5,1,1,1,8,3,0,2,3,2,2,5,0,10,4,3,4,0,3,2,0,0,0,9
"ENSMUSG00000032358",23,12,6,10,21,11,17,8,3,14,2,18,27,0,7,7,16,15,17,12,14,23,14,6,0,18,5,2,6,20,4,0,25,7,7,0,10,13
"ENSMUSG00000032366",75,38,68,64,123,34,75,116,32,53,53,40,53,43,87,65,72,80,83,37,36,119,82,52,2,46,51,59,55,23,47,28,82,34,55,26,56,32
"ENSMUSG00000032370",0,2,6,13,3,7,3,5,0,11,4,4,12,7,6,4,7,3,0,3,2,2,9,0,7,5,7,0,0,6,4,6,6,0,0,2,2,4
"ENSMUSG00000032373",0,12,0,8,1,16,1,0,10,3,0,2,5,2,1,1,5,2,1,6,6,0,2,10,22,10,9,1,3,11,4,8,1,0,4,2,6,1
"ENSMUSG00000032376",1,6,2,2,3,0,2,7,0,0,5,2,1,2,1,6,2,4,0,0,4,5,3,2,0,5,5,4,1,9,2,3,3,0,2,0,0,1
"ENSMUSG00000032382",5,4,0,3,7,2,5,1,0,1,0,2,6,0,2,3,4,3,2,17,2,2,2,0,12,6,0,2,0,6,2,6,1,0,2,0,12,7
"ENSMUSG00000032384",5,12,11,7,3,7,9,7,3,0,5,2,12,0,15,6,5,5,7,6,6,3,7,8,7,3,5,7,4,3,11,3,6,12,4,0,10,0
"ENSMUSG00000032386",3,6,0,0,15,5,5,3,0,6,4,0,9,2,4,9,3,8,1,3,12,4,0,2,7,3,7,7,1,0,0,11,2,2,0,17,2,2
"ENSMUSG00000032393",1,4,0,5,3,7,2,2,10,0,4,5,3,5,0,5,5,5,2,3,0,3,9,0,12,2,4,8,9,3,2,3,3,0,2,2,8,5
"ENSMUSG00000032399",14,12,8,17,24,9,10,14,0,10,0,7,8,0,16,25,24,30,3,0,20,3,0,2,0,8,4,12,1,6,23,8,13,10,7,9,6,9
"ENSMUSG00000032405",11,6,13,5,6,5,9,7,0,7,0,11,3,11,5,8,7,3,15,0,18,6,14,4,5,6,2,10,4,0,13,0,6,12,2,2,2,6
"ENSMUSG00000032407",11,8,13,8,14,2,9,17,0,7,12,13,8,11,11,8,8,8,5,6,2,9,17,13,7,8,12,25,7,11,19,20,6,5,11,7,4,9
"ENSMUSG00000032409",8,16,28,10,1,18,6,2,3,7,2,7,6,16,11,4,5,3,4,17,8,2,16,12,22,2,5,8,6,23,23,6,4,7,15,15,20,4
"ENSMUSG00000032410",14,10,23,37,6,14,14,15,19,9,21,20,23,7,11,8,14,9,9,17,20,11,23,17,17,6,14,18,23,11,49,25,15,14,7,9,6,18
"ENSMUSG00000032411",11,8,19,10,6,2,10,12,10,9,18,7,8,27,12,16,12,8,15,0,12,9,51,65,15,10,5,8,10,11,17,6,131,10,4,15,6,6
"ENSMUSG00000032412",20,14,4,3,20,0,9,20,6,23,0,0,17,0,17,36,13,26,9,14,16,6,7,4,2,10,4,12,9,3,9,3,15,2,13,4,12,8
"ENSMUSG00000032413",23,26,17,30,12,18,9,23,3,13,23,22,22,29,34,18,14,13,11,35,14,18,12,23,12,8,11,14,25,31,17,17,20,10,4,20,4,9
"ENSMUSG00000032420",135,61,41,40,213,82,62,73,22,95,25,25,32,23,63,36,76,159,35,14,120,132,26,42,12,49,87,32,54,31,47,157,74,5,177,85,54,60
"ENSMUSG00000032423",6,38,38,8,5,16,5,7,42,19,14,13,9,54,5,11,6,11,19,9,0,13,56,33,10,6,5,2,6,49,4,36,9,12,20,22,66,25
"ENSMUSG00000032434",0,4,0,0,5,0,2,2,0,1,0,2,4,5,0,11,7,6,4,0,2,3,3,4,0,3,2,5,3,0,0,8,1,0,9,0,4,1
"ENSMUSG00000032435",9,0,0,8,7,0,3,9,0,6,4,7,3,0,12,9,4,9,1,0,4,5,9,10,10,3,0,7,6,0,8,3,5,0,0,0,0,0
"ENSMUSG00000032437",3,2,4,3,3,2,0,5,0,3,2,4,0,0,0,5,1,4,0,0,0,4,2,10,0,0,0,0,3,6,0,14,2,2,0,2,4,0
"ENSMUSG00000032449",0,12,4,0,2,2,4,0,6,1,11,2,0,5,1,2,7,3,4,0,12,3,7,4,2,3,5,11,6,9,2,3,3,12,9,11,0,0
"ENSMUSG00000032458",8,10,6,3,9,7,6,7,0,0,7,7,0,5,1,4,7,7,1,0,0,7,7,8,2,3,0,2,12,3,0,0,6,12,9,4,0,4
"ENSMUSG00000032468",23,12,4,7,9,5,4,10,10,3,0,13,10,7,4,8,15,7,4,0,2,15,17,4,2,2,9,2,9,11,9,3,3,2,4,11,8,25
"ENSMUSG00000032469",5,0,4,5,4,0,0,5,0,0,4,7,5,5,2,6,3,7,0,6,4,9,0,0,0,2,0,7,0,0,2,0,3,0,0,0,8,6
"ENSMUSG00000032475",14,20,8,5,17,11,16,17,0,14,4,16,15,5,15,18,10,20,17,0,10,11,23,0,2,5,5,15,12,9,15,8,16,5,13,0,4,15
"ENSMUSG00000032479",11,10,30,25,15,25,15,20,6,17,25,24,26,11,4,8,12,17,21,23,2,15,23,13,17,13,11,13,22,9,25,17,18,5,7,0,16,7
"ENSMUSG00000032481",1,2,0,0,6,2,4,1,0,0,2,4,8,7,7,7,7,0,1,0,2,4,5,0,2,3,4,6,6,3,8,3,6,0,9,4,0,0
"ENSMUSG00000032487",5,0,2,5,26,0,8,104,0,6,2,7,29,0,1,287,38,78,5,6,8,4,12,10,2,11,0,0,1,0,2,0,30,2,4,0,44,0
"ENSMUSG00000032497",6,12,6,5,15,2,13,12,0,1,4,11,10,11,7,12,6,12,4,14,0,13,9,6,5,5,2,7,6,6,0,11,8,0,7,0,2,5
"ENSMUSG00000032501",51,20,17,70,25,48,29,49,0,32,27,24,46,32,75,78,14,36,23,6,28,41,17,27,17,37,37,15,48,3,34,0,33,14,22,9,64,12
"ENSMUSG00000032503",14,20,117,40,5,23,17,6,19,13,16,22,14,25,34,6,7,6,47,20,14,4,56,21,42,10,12,10,16,71,34,11,11,17,28,94,36,7
"ENSMUSG00000032504",21,24,15,13,43,14,22,25,19,33,28,24,26,14,28,34,31,34,29,9,18,30,10,25,15,38,21,17,12,6,15,20,31,26,22,24,20,18
"ENSMUSG00000032508",9,2,0,3,5,0,2,1,0,6,0,7,8,0,0,8,4,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,7,0,10,2
"ENSMUSG00000032517",0,6,2,0,7,7,2,1,6,0,2,0,9,0,64,0,0,0,0,0,2,0,14,2,5,0,5,0,3,0,2,3,0,5,0,0,0,0
"ENSMUSG00000032518",16,10,8,7,22,0,4,10,0,16,2,0,5,5,10,14,12,35,22,3,10,2,28,19,7,10,4,2,16,14,0,25,19,0,2,9,8,5
"ENSMUSG00000032525",50,20,51,49,61,75,86,84,48,64,84,84,104,50,77,117,86,82,88,89,58,96,85,79,22,84,55,62,116,26,76,20,76,108,28,59,81,75
"ENSMUSG00000032534",6,6,8,7,3,2,5,5,13,3,5,4,4,7,2,1,3,3,2,3,0,2,2,10,17,2,2,0,7,3,6,6,3,0,4,2,6,2
"ENSMUSG00000032536",5,4,9,17,13,9,16,9,6,24,11,20,9,11,10,2,3,11,13,3,12,11,2,2,25,6,7,10,10,9,8,6,6,5,20,7,4,8
"ENSMUSG00000032547",4,14,19,30,8,73,10,8,6,13,34,15,6,36,37,6,7,9,11,26,10,6,162,537,5,111,74,12,30,37,17,6,15,38,2,13,169,6
"ENSMUSG00000032548",13,0,13,23,21,14,13,25,3,6,16,11,13,16,11,4,3,9,14,6,10,17,7,10,7,8,23,7,10,0,13,6,12,12,2,0,0,9
"ENSMUSG00000032551",20,67,79,10,6,161,16,5,99,59,27,35,83,63,53,13,22,14,36,81,32,9,54,77,64,70,55,1,41,137,102,50,37,22,22,41,66,6
"ENSMUSG00000032560",15,8,11,7,17,18,8,14,0,3,16,9,14,9,5,10,7,21,8,12,8,9,5,2,10,6,11,8,3,6,8,11,14,5,7,2,8,11
"ENSMUSG00000032562",40,8,15,35,67,29,24,69,13,37,48,24,70,83,68,123,46,60,42,20,48,60,54,48,2,45,28,19,41,11,34,6,38,5,20,20,18,11
"ENSMUSG00000032570",9,0,0,3,9,2,2,1,0,3,7,0,0,0,5,10,1,9,4,0,8,2,3,15,0,5,0,1,3,11,9,3,6,0,4,4,8,0
"ENSMUSG00000032571",4,18,24,17,2,11,10,1,10,10,11,25,15,14,15,5,14,3,5,0,22,1,2,0,10,10,4,2,4,3,15,11,3,2,20,9,4,1
"ENSMUSG00000032580",60,47,105,74,52,36,47,47,16,44,39,45,31,47,56,48,60,35,58,52,56,32,49,54,47,46,34,64,49,43,66,48,70,50,79,74,46,37
"ENSMUSG00000032582",11,2,13,8,6,5,6,6,10,7,4,7,10,7,7,4,1,10,11,12,8,11,7,0,10,18,5,10,0,14,8,11,8,2,2,11,18,11
"ENSMUSG00000032584",15,14,0,0,9,5,6,8,0,3,0,0,3,0,2,4,10,9,0,6,8,3,0,0,0,0,11,6,0,0,4,0,15,2,20,4,0,6
"ENSMUSG00000032599",0,2,4,5,5,7,2,3,0,3,5,7,10,0,8,7,2,1,5,0,0,1,3,0,5,0,0,5,3,11,2,0,2,2,4,4,4,6
"ENSMUSG00000032601",14,10,15,18,31,14,36,26,3,34,32,13,9,2,31,10,18,21,11,17,18,23,12,4,34,22,18,31,30,3,11,17,9,7,28,46,24,33
"ENSMUSG00000032602",99,38,36,20,67,34,96,66,3,50,9,45,33,29,74,39,62,60,59,9,36,109,21,29,10,43,62,102,38,20,30,20,43,43,17,39,62,97
"ENSMUSG00000032621",11,14,17,27,15,9,21,17,32,26,21,29,14,9,12,14,22,13,20,12,22,14,21,127,15,11,23,18,17,23,15,11,23,12,33,26,18,32
"ENSMUSG00000032624",23,2,0,7,21,5,9,12,6,11,2,0,4,14,15,14,5,13,12,9,12,11,10,8,0,14,9,5,22,0,8,8,15,5,0,4,4,11
"ENSMUSG00000032625",9,10,11,3,3,5,3,1,19,4,2,0,6,16,1,2,5,3,3,12,4,3,14,10,15,2,5,1,4,6,25,0,2,5,4,2,6,5
"ENSMUSG00000032637",0,2,0,0,7,5,2,4,0,3,0,0,0,0,0,0,3,3,0,0,0,5,0,4,7,0,4,1,1,0,2,0,9,0,4,0,0,5
"ENSMUSG00000032656",3,2,4,13,10,0,2,9,3,6,5,4,6,0,8,2,3,4,5,0,0,8,5,2,2,5,9,7,4,6,15,6,4,2,0,7,4,14
"ENSMUSG00000032666",0,2,2,15,9,7,5,8,13,9,4,9,3,2,6,4,8,9,7,0,2,4,5,17,2,5,4,6,3,23,6,0,6,12,2,11,2,0
"ENSMUSG00000032667",0,6,4,3,5,7,0,3,0,9,0,0,3,0,5,2,5,4,7,6,8,3,10,8,2,0,0,6,3,0,6,11,3,2,7,2,0,7
"ENSMUSG00000032688",5,8,2,3,5,2,7,5,3,6,4,0,20,5,1,16,5,14,5,9,0,6,9,6,10,3,5,5,3,3,13,3,10,0,0,2,20,6
"ENSMUSG00000032691",0,0,0,0,3,5,1,17,0,3,0,0,15,5,1,80,7,35,1,3,0,1,2,2,2,0,2,0,4,0,8,0,20,0,2,0,22,0
"ENSMUSG00000032712",13,30,17,17,21,66,41,155,29,37,41,27,83,45,50,345,48,154,37,40,16,40,65,37,12,68,37,19,56,29,49,39,143,29,24,11,64,27
"ENSMUSG00000032727",8,10,4,18,32,7,21,18,0,14,11,13,4,9,12,12,12,4,5,14,8,10,3,0,0,8,12,4,13,0,6,6,9,7,15,15,22,14
"ENSMUSG00000032737",26,8,19,10,23,5,32,14,3,17,5,7,8,9,17,8,13,14,9,6,16,30,9,15,5,8,12,36,6,6,9,39,17,14,31,39,0,40
"ENSMUSG00000032740",4,14,6,0,1,20,3,2,22,9,5,13,9,9,8,7,6,7,8,23,4,3,2,10,22,13,4,1,25,9,30,20,7,14,7,0,2,0
"ENSMUSG00000032741",6,2,6,5,5,18,4,1,3,4,7,0,5,5,2,3,5,3,1,3,0,3,2,10,5,0,7,14,3,3,6,0,3,5,0,4,6,2
"ENSMUSG00000032745",0,4,9,0,4,7,2,1,0,1,4,9,3,2,6,14,2,4,10,9,2,2,3,6,12,8,5,7,6,0,0,11,11,0,0,0,2,5
"ENSMUSG00000032776",5,10,8,0,1,7,6,5,0,0,4,2,8,2,2,6,5,5,8,0,2,3,2,0,7,10,4,2,13,6,4,11,4,0,7,4,2,5
"ENSMUSG00000032777",0,2,0,2,9,7,9,6,0,0,7,5,9,0,10,3,3,5,17,0,0,1,12,13,0,2,11,5,3,6,0,0,4,0,0,2,8,5
"ENSMUSG00000032786",9,8,0,3,4,0,0,23,3,0,11,4,6,9,12,42,5,14,12,14,10,26,28,0,5,21,0,0,6,0,2,3,13,2,11,9,12,9
"ENSMUSG00000032806",0,2,0,3,2,0,0,0,3,0,2,0,3,5,24,0,0,1,5,9,0,0,17,21,0,13,4,0,7,29,2,0,1,0,0,4,4,0
"ENSMUSG00000032826",0,18,4,3,1,5,5,1,16,4,4,2,9,5,7,2,6,4,1,9,4,1,5,12,39,3,5,0,10,14,23,6,1,2,4,2,14,2
"ENSMUSG00000032841",28,26,24,49,4,18,7,16,19,10,18,16,14,20,17,10,22,12,15,32,56,0,9,27,15,41,21,13,23,26,53,6,13,5,37,15,20,29
"ENSMUSG00000032846",34,14,15,25,29,11,25,40,3,7,9,0,9,9,29,50,18,20,20,12,14,27,9,15,2,16,11,21,22,0,21,0,16,0,11,0,32,18
"ENSMUSG00000032854",0,2,9,2,0,23,0,1,0,0,0,0,0,36,100,0,6,1,5,6,4,0,82,142,0,33,2,0,9,11,4,0,2,0,0,0,44,1
