"Gene.Number","bresub","Gene.Name"
303,0.362,"Slc25a36"
304,0.514,"Ptgs2"
305,0.3962,"Rpsa"
306,0.4367,"Slco2a1"
307,0.4315,"Gnai2"
308,0.419,"Nlrp3"
309,0.4145,"Acsl3"
310,0.4154,"Slc16a1"
311,0.399,"Hspa13"
312,0.4311,"Foxj3"
313,0.3889,"Atg9a"
314,0.3205,"Lpar6"
315,0.4676,"Ctnnd1"
316,0.4749,"Slc25a37"
317,0.2779,"Slc26a2"
318,0.3562,"Map2k2"
319,0.4571,"Becn1"
320,0.3813,"Egln3"
321,0.3684,"Arhgap5"
322,0.3911,"Emsy"
323,0.3244,"Foxa1"
324,0.4667,"Gadd45a"
325,0.5506,"Cdc42ep3"
326,0.3219,"Foxa2"
327,0.4756,"Kdm6a"
328,0.3322,"Muc3"
329,0.4744,"Cdkn1c"
330,0.3541,"Atp8a1"
331,0.4667,"Cd81"
332,0.3942,"Ctnna1"
333,0.4416,"Aim2"
334,0.4574,"Ormdl3"
335,0.3337,"Slc43a2"
336,0.4363,"Hoxa9"
337,0.4608,"F11r"
338,0.3552,"Hoxa5"
339,0.3275,"Slc22a23"
340,0.4255,"Nfe2l1"
341,0.55,"Lpar1"
342,0.4667,"Nlrp6"
343,0.4367,"Irs2"
344,0.3719,"Marchf6"
345,0.3661,"Camk1d"
346,0.1576,"Rbpj"
347,0.3042,"Il18"
348,0.4205,"Tgfb2"
349,0.3529,"Prss23"
350,0.4688,"Ncam1"
351,0.4667,"Ptger4"
352,0.4381,"Hip1"
353,0.3345,"Lats1"
354,0.4632,"Thbs1"
355,0.1389,"Cdk6"
356,0.4981,"Abcb1a"
357,0.3847,"Cept1"
358,0.2042,"Foxa3"
359,0.4662,"Car8"
360,0.4667,"Pik3r1"
361,0.5301,"Irf8"
362,0.4721,"Il17f"
363,0.5575,"Znrf3"
364,0.2595,"Agps"
365,0.3771,"Mgat3"
366,0.3918,"Hoxd11"
367,0.2902,"Mapk6"
368,0.3718,"Id1"
369,0.3218,"Flt3"
370,0.4635,"Ptpn11"
371,0.4495,"Foxo1"
372,0.4644,"Dsg2"
373,0.3116,"Tlr7"
374,0.4083,"Fzd1"
375,0.3759,"Prkce"
376,0.3694,"Epcam"
377,0.3781,"Hcar2"
378,0.4667,"Fpr1"
379,0.3639,"Cd24a"
380,0.3866,"Zbtb33"
381,0.4313,"Nrip1"
