"Gene.Number","bresub","Gene.Name"
325,0.5019,"Cdc42ep3"
326,0.4781,"Foxa2"
327,0.282,"Kdm6a"
328,0.5417,"Muc3"
329,0.3982,"Cdkn1c"
330,0.5103,"Atp8a1"
331,0.5284,"Cd81"
332,0.4013,"Ctnna1"
333,0.4128,"Aim2"
334,0.4104,"Ormdl3"
335,0.49,"Slc43a2"
336,0.4082,"Hoxa9"
337,0.382,"F11r"
338,0.3088,"Hoxa5"
339,0.5592,"Slc22a23"
340,0.3887,"Nfe2l1"
341,0.432,"Lpar1"
342,0.2953,"Nlrp6"
343,0.4043,"Irs2"
344,0.5071,"Marchf6"
345,0.3889,"Camk1d"
346,0.4917,"Rbpj"
347,0.359,"Il18"
348,0.4945,"Tgfb2"
349,0.2964,"Prss23"
350,0.464,"Ncam1"
351,0.3767,"Ptger4"
352,0.4284,"Hip1"
353,0.2922,"Lats1"
354,0.3106,"Thbs1"
355,0.5234,"Cdk6"
356,0.3964,"Abcb1a"
357,0.5062,"Cept1"
358,0.4015,"Foxa3"
359,0.4092,"Car8"
360,0.3931,"Pik3r1"
361,0.4518,"Irf8"
362,0.2653,"Il17f"
363,0.4722,"Znrf3"
364,0.4265,"Agps"
365,0.4506,"Mgat3"
366,0.4941,"Hoxd11"
367,0.3925,"Mapk6"
368,0.4345,"Id1"
369,0.3157,"Flt3"
370,0.4242,"Ptpn11"
371,0.4234,"Foxo1"
372,0.4445,"Dsg2"
373,0.5379,"Tlr7"
374,0.3032,"Fzd1"
375,0.3904,"Prkce"
376,0.4333,"Epcam"
377,0.4793,"Hcar2"
378,0.3646,"Fpr1"
379,0.2049,"Cd24a"
380,0.4741,"Zbtb33"
381,0.4313,"Nrip1"
382,0.421,"Foxo3"
383,0.4725,"Slc39a9"
384,0.3534,"Arhgap30"
385,0.2761,"Krt8"
386,0.2489,"Hoxb13"
387,0.537,"Slc17a5"
388,0.4308,"Gja8"
389,0.4147,"Lgr4"
390,0.4366,"Foxc1"
391,0.4237,"Lgals3"
392,0.2468,"Ftl1"
393,0.2547,"Prkca"
394,0.3836,"Ffar2"
395,0.2925,"Cacna1c"
396,0.4665,"Ywhag"
397,0.4482,"Ttn"
398,0.4492,"Jun"
399,0.2198,"Prkcb"
400,0.4366,"Tcf4"
401,0.2216,"Lifr"
402,0.4315,"Rhob"
403,0.456,"Ceacam2"
404,0.3293,"Slfn5"
405,0.4882,"Slc30a7"
406,0.38,"Tle5"
407,0.333,"Adam10"
408,0.3993,"Ddx17"
409,0.3261,"Foxd2"
410,0.4038,"Fut9"
411,0.3942,"Cldn23"
412,0.3478,"S100a8"
413,0.3941,"S100a9"
414,0.1829,"Socs6"
415,0.3849,"Cebpb"
416,0.3868,"Ptafr"
417,0.5099,"Birc2"
418,0.3824,"Mab21l2"
419,0.4608,"Trim31"
420,0.4151,"Nfam1"
421,0.5282,"Tspan7"
422,0.3913,"Thra"
423,0.4773,"Septin9"
424,0.4299,"Hopx"
425,0.4442,"Max"
426,0.3942,"Ptk2b"
427,0.2222,"Tpt1"
428,0.4183,"Slc4a4"
429,0.5036,"Maml3"
430,0.3169,"Dot1l"
431,0.4838,"Slc25a3"
432,0.312,"Erbb2"
433,0.4969,"Actg1"
434,0.4166,"Acadm"
435,0.4202,"Mapk3"
436,0.335,"Ldha"
437,0.2864,"Mapk1"
438,0.2217,"Gpx1"
439,0.3602,"Nr6a1"
440,0.4429,"mt-Co1"
441,0.467,"mt-Co3"
442,0.3542,"Slc31a1"
443,0.4531,"Bmpr2"
444,0.529,"Afdn"
445,0.4905,"Duox2"
446,0.2488,"Cgn"
447,0.3673,"Msi2"
448,0.2322,"Ccnd1"
449,0.3061,"Top1"
450,0.4722,"Ceacam20"
451,0.4224,"Ptges3"
452,0.2366,"Naip5"
453,0.3041,"Reg3b"
454,0.4276,"Csf2rb"
455,0.4811,"Cdkn2b"
456,0.4453,"Ccl28"
457,0.3618,"Selenos"
458,0.4454,"Psme2b"
459,0.4035,"Naip6"
460,0.4686,"Naip2"
461,0.4945,"Naip3"
462,0.4208,"Bcl2l2"
463,0.3943,"Slc5a3"
464,0.4061,"Kctd12"
