"Gene.Number","bresub","Gene.Name"
439,0.3043,"Nr6a1"
440,0.3215,"mt-Co1"
441,0.3039,"mt-Co3"
442,0.3037,"Slc31a1"
443,0.3262,"Bmpr2"
444,0.2368,"Afdn"
445,0.0669,"Duox2"
446,0.2717,"Cgn"
447,0.3043,"Msi2"
448,0.1815,"Ccnd1"
449,0.3438,"Top1"
450,0.3039,"Ceacam20"
451,0.3043,"Ptges3"
452,0.2522,"Naip5"
453,0.3009,"Reg3b"
454,0.2878,"Csf2rb"
455,0.2197,"Cdkn2b"
456,0.3043,"Ccl28"
457,0.3043,"Selenos"
458,0.3043,"Psme2b"
459,0.3424,"Naip6"
460,0.2842,"Naip2"
461,0.3042,"Naip3"
462,0.2436,"Bcl2l2"
463,0.3043,"Slc5a3"
464,0.3043,"Kctd12"
