"Gene.Number","bresub","Gene.Name"
351,0.4463,"Ptger4"
352,0.4778,"Hip1"
353,0.3875,"Lats1"
354,0.2492,"Thbs1"
355,0.1811,"Cdk6"
356,0.4252,"Abcb1a"
357,0.4172,"Cept1"
358,0.3477,"Foxa3"
359,0.3746,"Car8"
360,0.3741,"Pik3r1"
361,0.3558,"Irf8"
362,0.2932,"Il17f"
363,0.5495,"Znrf3"
364,0.4221,"Agps"
365,0.4339,"Mgat3"
366,0.4601,"Hoxd11"
367,0.4145,"Mapk6"
368,0.4698,"Id1"
369,0.2096,"Flt3"
370,0.2999,"Ptpn11"
371,0.4455,"Foxo1"
372,0.3603,"Dsg2"
373,0.4474,"Tlr7"
374,0.4298,"Fzd1"
375,0.4115,"Prkce"
376,0.3831,"Epcam"
377,0.4724,"Hcar2"
378,0.3241,"Fpr1"
379,0.262,"Cd24a"
380,0.4537,"Zbtb33"
381,0.43,"Nrip1"
382,0.3942,"Foxo3"
383,0.4027,"Slc39a9"
384,0.2262,"Arhgap30"
385,0.3297,"Krt8"
386,0.2612,"Hoxb13"
387,0.4394,"Slc17a5"
388,0.3959,"Gja8"
389,0.3962,"Lgr4"
390,0.4667,"Foxc1"
391,0.4183,"Lgals3"
392,0.3415,"Ftl1"
393,0.452,"Prkca"
394,0.4265,"Ffar2"
395,0.3591,"Cacna1c"
396,0.3901,"Ywhag"
397,0.4667,"Ttn"
398,0.4187,"Jun"
399,0.3287,"Prkcb"
400,0.4666,"Tcf4"
401,0.284,"Lifr"
402,0.3494,"Rhob"
403,0.4164,"Ceacam2"
404,0.3045,"Slfn5"
405,0.453,"Slc30a7"
406,0.2478,"Tle5"
407,0.4867,"Adam10"
408,0.3948,"Ddx17"
409,0.2156,"Foxd2"
410,0.4183,"Fut9"
411,0.4153,"Cldn23"
412,0.3883,"S100a8"
413,0.384,"S100a9"
414,0.3854,"Socs6"
415,0.4667,"Cebpb"
416,0.4483,"Ptafr"
417,0.1689,"Birc2"
418,0.3217,"Mab21l2"
419,0.4667,"Trim31"
420,0.2813,"Nfam1"
421,0.2305,"Tspan7"
422,0.4471,"Thra"
423,0.468,"Septin9"
424,0.5153,"Hopx"
425,0.3756,"Max"
426,0.454,"Ptk2b"
427,0.3344,"Tpt1"
428,0.4149,"Slc4a4"
429,0.2613,"Maml3"
430,0.4118,"Dot1l"
431,0.4018,"Slc25a3"
432,0.2471,"Erbb2"
433,0.2799,"Actg1"
434,0.4015,"Acadm"
435,0.4415,"Mapk3"
436,0.359,"Ldha"
437,0.3302,"Mapk1"
438,0.3944,"Gpx1"
439,0.322,"Nr6a1"
440,0.4846,"mt-Co1"
441,0.324,"mt-Co3"
442,0.4996,"Slc31a1"
443,0.4667,"Bmpr2"
444,0.4427,"Afdn"
445,0.4252,"Duox2"
446,0.32,"Cgn"
447,0.3845,"Msi2"
448,0.3284,"Ccnd1"
449,0.2535,"Top1"
450,0.465,"Ceacam20"
451,0.3717,"Ptges3"
452,0.351,"Naip5"
453,0.3024,"Reg3b"
454,0.1662,"Csf2rb"
455,0.419,"Cdkn2b"
456,0.2475,"Ccl28"
457,0.4229,"Selenos"
458,0.3876,"Psme2b"
459,0.4608,"Naip6"
460,0.4564,"Naip2"
461,0.4326,"Naip3"
462,0.4494,"Bcl2l2"
463,0.392,"Slc5a3"
464,0.4007,"Kctd12"
