"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
33,70,241,0.0188,"Slc30a4","Kitl","Pde4b",0.1524,0.2406,0.0951,0.0498,-0.003,0.0498,-0.003
33,72,241,0.0499,"Slc30a4","Socs2","Pde4b",0.1213,0.4337,0.064,0.0498,-0.0341,0.0498,-0.0341
33,73,241,0.0373,"Slc30a4","Timp3","Pde4b",0.1339,0.3211,0.0766,0.0498,-0.0215,0.0498,-0.0215
33,74,241,0.0103,"Slc30a4","Slc5a8","Pde4b",0.1609,0.4123,0.1036,0.0498,0.0055,0.0498,0.0055
33,75,241,0.0474,"Slc30a4","Sirt1","Pde4b",0.1238,0.4318,0.0665,0.0498,-0.0316,0.0498,-0.0316
33,76,241,0.0198,"Slc30a4","Ddx21","Pde4b",0.1514,0.4148,0.0941,0.0498,-0.004,0.0498,-0.004
33,78,241,0.0216,"Slc30a4","Meis1","Pde4b",0.1496,0.4519,0.0923,0.0498,-0.0058,0.0498,-0.0058
33,79,241,0.02,"Slc30a4","Mdm2","Pde4b",0.1512,0.4252,0.0939,0.0498,-0.0042,0.0498,-0.0042
33,80,241,0.0294,"Slc30a4","Rel","Pde4b",0.1418,0.4479,0.0845,0.0498,-0.0136,0.0498,-0.0136
33,81,241,0.027,"Slc30a4","Hspa4","Pde4b",0.1442,0.3239,0.0869,0.0498,-0.0112,0.0498,-0.0112
33,82,241,0.0461,"Slc30a4","Xbp1","Pde4b",0.1251,0.3715,0.0678,0.0498,-0.0303,0.0498,-0.0303
33,86,241,0.025,"Slc30a4","Dnmt3a","Pde4b",0.1462,0.3848,0.0889,0.0498,-0.0092,0.0498,-0.0092
33,89,241,0.0263,"Slc30a4","Slc9a3r1","Pde4b",0.1449,0.4486,0.0876,0.0498,-0.0105,0.0498,-0.0105
33,90,241,0.0278,"Slc30a4","Atp2a3","Pde4b",0.1434,0.3982,0.0861,0.0498,-0.012,0.0498,-0.012
33,92,241,0.0362,"Slc30a4","Krt19","Pde4b",0.135,0.149,0.0777,0.0498,-0.0204,0.0498,-0.0204
33,93,241,0.0134,"Slc30a4","Top2a","Pde4b",0.1578,0.4939,0.1005,0.0498,0.0024,0.0498,0.0024
33,94,241,0.0411,"Slc30a4","Fut8","Pde4b",0.1301,0.3161,0.0728,0.0498,-0.0253,0.0498,-0.0253
33,96,241,0.0235,"Slc30a4","Numb","Pde4b",0.1477,0.3369,0.0904,0.0498,-0.0077,0.0498,-0.0077
33,101,241,0.0122,"Slc30a4","Slc35b3","Pde4b",0.159,0.3184,0.1017,0.0498,0.0036,0.0498,0.0036
33,103,241,0.0271,"Slc30a4","Rasa1","Pde4b",0.1441,0.4786,0.0868,0.0498,-0.0113,0.0498,-0.0113
33,104,241,0.0218,"Slc30a4","Vcan","Pde4b",0.1494,0.3774,0.0921,0.0498,-0.006,0.0498,-0.006
