"Gene.Number","bresub","Gene.Name"
327,0.3635,"Kdm6a"
328,0.2945,"Muc3"
329,0.1836,"Cdkn1c"
330,0.4365,"Atp8a1"
331,0.473,"Cd81"
332,0.306,"Ctnna1"
333,0.5256,"Aim2"
334,0.4836,"Ormdl3"
335,0.2629,"Slc43a2"
336,0.4834,"Hoxa9"
337,0.4,"F11r"
338,0.4559,"Hoxa5"
339,0.3724,"Slc22a23"
340,0.5092,"Nfe2l1"
341,0.2036,"Lpar1"
342,0.3964,"Nlrp6"
343,0.325,"Irs2"
344,0.3979,"Marchf6"
345,0.428,"Camk1d"
346,0.3123,"Rbpj"
347,0.4001,"Il18"
348,0.4388,"Tgfb2"
349,0.2919,"Prss23"
350,0.4189,"Ncam1"
351,0.4918,"Ptger4"
352,0.3319,"Hip1"
353,0.2842,"Lats1"
354,0.1934,"Thbs1"
355,0.1967,"Cdk6"
356,0.4641,"Abcb1a"
357,0.4389,"Cept1"
358,0.32,"Foxa3"
359,0.4805,"Car8"
360,0.3971,"Pik3r1"
361,0.4271,"Irf8"
362,0.4116,"Il17f"
363,0.5326,"Znrf3"
364,0.4574,"Agps"
365,0.3057,"Mgat3"
366,0.2498,"Hoxd11"
367,0.2547,"Mapk6"
368,0.4386,"Id1"
369,0.153,"Flt3"
370,0.5465,"Ptpn11"
371,0.2162,"Foxo1"
372,0.1293,"Dsg2"
373,0.432,"Tlr7"
374,0.2686,"Fzd1"
375,0.5595,"Prkce"
376,0.3516,"Epcam"
377,0.2093,"Hcar2"
378,0.3303,"Fpr1"
379,0.4271,"Cd24a"
380,0.4142,"Zbtb33"
381,0.4705,"Nrip1"
382,0.4444,"Foxo3"
383,0.4025,"Slc39a9"
384,0.2712,"Arhgap30"
385,0.2445,"Krt8"
386,0.4707,"Hoxb13"
387,0.3043,"Slc17a5"
388,0.4685,"Gja8"
389,0.4915,"Lgr4"
390,0.4494,"Foxc1"
391,0.2864,"Lgals3"
392,0.3245,"Ftl1"
393,0.3184,"Prkca"
394,0.4451,"Ffar2"
395,0.4133,"Cacna1c"
396,0.4472,"Ywhag"
397,0.4797,"Ttn"
398,0.1859,"Jun"
399,0.4995,"Prkcb"
400,0.5302,"Tcf4"
401,0.3959,"Lifr"
402,0.3955,"Rhob"
403,0.4153,"Ceacam2"
404,0.4691,"Slfn5"
405,0.198,"Slc30a7"
406,0.45,"Tle5"
407,0.3697,"Adam10"
408,0.4419,"Ddx17"
409,0.2914,"Foxd2"
410,0.3994,"Fut9"
411,0.366,"Cldn23"
412,0.1728,"S100a8"
413,0.1943,"S100a9"
414,0.2653,"Socs6"
415,0.2584,"Cebpb"
416,0.3674,"Ptafr"
417,0.1826,"Birc2"
418,0.4005,"Mab21l2"
