"Gene.Number","bresub","Gene.Name"
308,0.5084,"Nlrp3"
309,0.4192,"Acsl3"
310,0.4152,"Slc16a1"
311,0.5601,"Hspa13"
312,0.5237,"Foxj3"
313,0.4084,"Atg9a"
314,0.3503,"Lpar6"
315,0.2319,"Ctnnd1"
316,0.4968,"Slc25a37"
317,0.5159,"Slc26a2"
318,0.3902,"Map2k2"
319,0.4573,"Becn1"
320,0.3101,"Egln3"
321,0.4086,"Arhgap5"
322,0.3409,"Emsy"
323,0.3574,"Foxa1"
324,0.4082,"Gadd45a"
325,0.5203,"Cdc42ep3"
326,0.4222,"Foxa2"
327,0.457,"Kdm6a"
328,0.3723,"Muc3"
329,0.4056,"Cdkn1c"
330,0.4239,"Atp8a1"
331,0.4667,"Cd81"
332,0.4309,"Ctnna1"
333,0.4125,"Aim2"
334,0.3816,"Ormdl3"
335,0.4268,"Slc43a2"
336,0.3671,"Hoxa9"
337,0.3927,"F11r"
338,0.3775,"Hoxa5"
339,0.3965,"Slc22a23"
340,0.4667,"Nfe2l1"
341,0.4669,"Lpar1"
342,0.337,"Nlrp6"
343,0.3426,"Irs2"
344,0.4488,"Marchf6"
345,0.3161,"Camk1d"
346,0.252,"Rbpj"
347,0.4667,"Il18"
348,0.4693,"Tgfb2"
349,0.4667,"Prss23"
350,0.4096,"Ncam1"
351,0.6378,"Ptger4"
352,0.3052,"Hip1"
353,0.4123,"Lats1"
354,0.5576,"Thbs1"
355,0.2863,"Cdk6"
356,0.4121,"Abcb1a"
357,0.4354,"Cept1"
358,0.3222,"Foxa3"
359,0.4667,"Car8"
360,0.3287,"Pik3r1"
361,0.5079,"Irf8"
362,0.4023,"Il17f"
363,0.5519,"Znrf3"
364,0.4037,"Agps"
365,0.4395,"Mgat3"
366,0.4848,"Hoxd11"
367,0.4392,"Mapk6"
368,0.4445,"Id1"
369,0.3059,"Flt3"
370,0.4411,"Ptpn11"
371,0.529,"Foxo1"
372,0.4176,"Dsg2"
373,0.4667,"Tlr7"
374,0.3562,"Fzd1"
375,0.4437,"Prkce"
376,0.3337,"Epcam"
377,0.5046,"Hcar2"
378,0.5005,"Fpr1"
379,0.4014,"Cd24a"
380,0.4114,"Zbtb33"
381,0.4434,"Nrip1"
382,0.3194,"Foxo3"
383,0.509,"Slc39a9"
384,0.5693,"Arhgap30"
385,0.2525,"Krt8"
386,0.3901,"Hoxb13"
387,0.4048,"Slc17a5"
388,0.4706,"Gja8"
389,0.4667,"Lgr4"
390,0.4999,"Foxc1"
391,0.3348,"Lgals3"
