"Gene.Number","bresub","Gene.Name"
318,0.4199,"Map2k2"
319,0.4958,"Becn1"
320,0.3522,"Egln3"
321,0.4347,"Arhgap5"
322,0.2557,"Emsy"
323,0.452,"Foxa1"
324,0.3739,"Gadd45a"
325,0.4106,"Cdc42ep3"
326,0.2896,"Foxa2"
327,0.4719,"Kdm6a"
328,0.4608,"Muc3"
329,0.3953,"Cdkn1c"
330,0.4352,"Atp8a1"
331,0.6093,"Cd81"
332,0.4109,"Ctnna1"
333,0.42,"Aim2"
334,0.3726,"Ormdl3"
335,0.3373,"Slc43a2"
336,0.4387,"Hoxa9"
337,0.3853,"F11r"
338,0.4273,"Hoxa5"
339,0.5075,"Slc22a23"
340,0.4336,"Nfe2l1"
341,0.3992,"Lpar1"
342,0.3487,"Nlrp6"
343,0.4021,"Irs2"
344,0.4044,"Marchf6"
345,0.3771,"Camk1d"
346,0.3718,"Rbpj"
347,0.296,"Il18"
348,0.3778,"Tgfb2"
349,0.4631,"Prss23"
350,0.4581,"Ncam1"
351,0.3969,"Ptger4"
352,0.3875,"Hip1"
353,0.2299,"Lats1"
354,0.4869,"Thbs1"
355,0.4021,"Cdk6"
356,0.3674,"Abcb1a"
357,0.4233,"Cept1"
358,0.3377,"Foxa3"
359,0.4813,"Car8"
360,0.3614,"Pik3r1"
361,0.4824,"Irf8"
362,0.5451,"Il17f"
363,0.4616,"Znrf3"
364,0.189,"Agps"
365,0.4557,"Mgat3"
366,0.4313,"Hoxd11"
367,0.3481,"Mapk6"
368,0.4635,"Id1"
369,0.4782,"Flt3"
370,0.4701,"Ptpn11"
371,0.4622,"Foxo1"
372,0.4247,"Dsg2"
373,0.3662,"Tlr7"
374,0.3839,"Fzd1"
375,0.4436,"Prkce"
376,0.426,"Epcam"
377,0.3633,"Hcar2"
378,0.5219,"Fpr1"
379,0.4912,"Cd24a"
380,0.394,"Zbtb33"
381,0.4764,"Nrip1"
382,0.4685,"Foxo3"
383,0.4428,"Slc39a9"
384,0.5595,"Arhgap30"
385,0.368,"Krt8"
386,0.3236,"Hoxb13"
387,0.5958,"Slc17a5"
388,0.3861,"Gja8"
389,0.4564,"Lgr4"
390,0.3875,"Foxc1"
391,0.4839,"Lgals3"
392,0.4637,"Ftl1"
393,0.4363,"Prkca"
394,0.44,"Ffar2"
395,0.2659,"Cacna1c"
396,0.346,"Ywhag"
397,0.4391,"Ttn"
398,0.4963,"Jun"
399,0.3933,"Prkcb"
400,0.5384,"Tcf4"
401,0.4956,"Lifr"
402,0.5066,"Rhob"
403,0.5093,"Ceacam2"
404,0.448,"Slfn5"
405,0.516,"Slc30a7"
406,0.3301,"Tle5"
407,0.4744,"Adam10"
408,0.5266,"Ddx17"
409,0.3091,"Foxd2"
410,0.5768,"Fut9"
411,0.5094,"Cldn23"
412,0.4787,"S100a8"
413,0.428,"S100a9"
414,0.466,"Socs6"
415,0.5171,"Cebpb"
416,0.383,"Ptafr"
417,0.2391,"Birc2"
418,0.4296,"Mab21l2"
419,0.4556,"Trim31"
420,0.4312,"Nfam1"
421,0.4481,"Tspan7"
422,0.4366,"Thra"
423,0.4268,"Septin9"
424,0.4303,"Hopx"
425,0.2767,"Max"
426,0.3494,"Ptk2b"
427,0.4077,"Tpt1"
428,0.3454,"Slc4a4"
429,0.5184,"Maml3"
430,0.3579,"Dot1l"
431,0.4362,"Slc25a3"
432,0.4768,"Erbb2"
433,0.3448,"Actg1"
434,0.4454,"Acadm"
435,0.3998,"Mapk3"
436,0.454,"Ldha"
437,0.3947,"Mapk1"
438,0.2802,"Gpx1"
439,0.3952,"Nr6a1"
440,0.4242,"mt-Co1"
441,0.45,"mt-Co3"
442,0.4669,"Slc31a1"
443,0.459,"Bmpr2"
444,0.5289,"Afdn"
445,0.3947,"Duox2"
446,0.5438,"Cgn"
447,0.3487,"Msi2"
448,0.4521,"Ccnd1"
449,0.3052,"Top1"
450,0.3881,"Ceacam20"
451,0.3622,"Ptges3"
452,0.419,"Naip5"
453,0.4024,"Reg3b"
454,0.3101,"Csf2rb"
455,0.44,"Cdkn2b"
456,0.4691,"Ccl28"
457,0.4865,"Selenos"
458,0.3655,"Psme2b"
459,0.3434,"Naip6"
460,0.3477,"Naip2"
461,0.4238,"Naip3"
462,0.4211,"Bcl2l2"
463,0.3485,"Slc5a3"
464,0.441,"Kctd12"
