"Gene.Number","bresub","Gene.Name"
337,0.2527,"F11r"
338,0.3182,"Hoxa5"
339,0.3182,"Slc22a23"
340,0.3182,"Nfe2l1"
341,0.1525,"Lpar1"
342,0.3182,"Nlrp6"
343,0.3196,"Irs2"
344,0.3516,"Marchf6"
345,0.3182,"Camk1d"
346,0.3182,"Rbpj"
347,0.238,"Il18"
348,0.3125,"Tgfb2"
349,0.2076,"Prss23"
350,0.3183,"Ncam1"
351,0.3182,"Ptger4"
352,0.2808,"Hip1"
353,0.2416,"Lats1"
354,0.3317,"Thbs1"
355,0.3162,"Cdk6"
356,0.3182,"Abcb1a"
357,0.2604,"Cept1"
358,0.2608,"Foxa3"
359,0.3182,"Car8"
360,0.3182,"Pik3r1"
361,0.3182,"Irf8"
362,0.3182,"Il17f"
363,0.3182,"Znrf3"
364,0.2866,"Agps"
365,0.2715,"Mgat3"
366,0.3148,"Hoxd11"
367,0.2223,"Mapk6"
368,0.2974,"Id1"
369,0.3386,"Flt3"
370,0.3182,"Ptpn11"
371,0.3328,"Foxo1"
372,0.161,"Dsg2"
373,0.3182,"Tlr7"
374,0.3182,"Fzd1"
375,0.3182,"Prkce"
376,0.2675,"Epcam"
377,0.345,"Hcar2"
378,0.3182,"Fpr1"
379,0.3182,"Cd24a"
380,0.3182,"Zbtb33"
381,0.3182,"Nrip1"
382,0.3182,"Foxo3"
383,0.3182,"Slc39a9"
384,0.3204,"Arhgap30"
385,0.3033,"Krt8"
386,0.3182,"Hoxb13"
387,0.322,"Slc17a5"
388,0.3182,"Gja8"
389,0.3182,"Lgr4"
390,0.3182,"Foxc1"
391,0.2673,"Lgals3"
392,0.3136,"Ftl1"
393,0.3099,"Prkca"
394,0.2448,"Ffar2"
395,0.3083,"Cacna1c"
396,0.3181,"Ywhag"
397,0.3182,"Ttn"
398,0.2446,"Jun"
399,0.3182,"Prkcb"
400,0.3182,"Tcf4"
401,0.2523,"Lifr"
402,0.3182,"Rhob"
403,0.3701,"Ceacam2"
404,0.3182,"Slfn5"
405,0.2207,"Slc30a7"
406,0.3182,"Tle5"
407,0.2502,"Adam10"
408,0.3182,"Ddx17"
409,0.2367,"Foxd2"
410,0.2596,"Fut9"
411,0.3203,"Cldn23"
412,0.3711,"S100a8"
413,0.3339,"S100a9"
414,0.3182,"Socs6"
415,0.3191,"Cebpb"
416,0.3206,"Ptafr"
417,0.3182,"Birc2"
418,0.3182,"Mab21l2"
419,0.3492,"Trim31"
420,0.3181,"Nfam1"
421,0.2526,"Tspan7"
422,0.3178,"Thra"
423,0.3182,"Septin9"
424,0.3247,"Hopx"
425,0.3182,"Max"
426,0.3182,"Ptk2b"
427,0.3182,"Tpt1"
428,0.3182,"Slc4a4"
429,0.2714,"Maml3"
430,0.2837,"Dot1l"
431,0.3182,"Slc25a3"
432,0.318,"Erbb2"
433,0.3171,"Actg1"
434,0.2626,"Acadm"
435,0.3182,"Mapk3"
436,0.3182,"Ldha"
437,0.3182,"Mapk1"
438,0.3182,"Gpx1"
439,0.3182,"Nr6a1"
440,0.3242,"mt-Co1"
441,0.3182,"mt-Co3"
442,0.2545,"Slc31a1"
443,0.3039,"Bmpr2"
444,0.2675,"Afdn"
445,0.0715,"Duox2"
446,0.3206,"Cgn"
447,0.3122,"Msi2"
448,0.3605,"Ccnd1"
449,0.2992,"Top1"
450,0.277,"Ceacam20"
451,0.3182,"Ptges3"
452,0.3175,"Naip5"
453,0.3182,"Reg3b"
454,0.3151,"Csf2rb"
455,0.2108,"Cdkn2b"
456,0.3182,"Ccl28"
457,0.3182,"Selenos"
458,0.3178,"Psme2b"
459,0.3182,"Naip6"
460,0.3435,"Naip2"
461,0.2959,"Naip3"
462,0.2783,"Bcl2l2"
463,0.2152,"Slc5a3"
464,0.3182,"Kctd12"
